gnrl_p_,id,zoning
714 - Commercial Retail,0,0
714 - Commercial Retail,1,0
714 - Commercial Retail,2,0
714 - Commercial Retail,3,0
714 - Commercial Retail,4,0
714 - Commercial Retail,5,0
714 - Commercial Retail,6,0
714 - Commercial Retail,7,0
714 - Commercial Retail,8,0
714 - Commercial Retail,9,0
714 - Commercial Retail,10,0
714 - Commercial Retail,11,0
714 - Commercial Retail,12,0
714 - Commercial Retail,13,0
714 - Commercial Retail,14,0
714 - Commercial Retail,15,0
714 - Commercial Retail,16,0
714 - Commercial Retail,17,0
714 - Commercial Retail,18,0
714 - Commercial Retail,19,0
714 - Commercial Retail,20,0
714 - Community Facility,21,0
714 - Community Facility,22,0
714 - Community Facility,23,0
714 - Community Facility,24,0
714 - Community Facility,25,0
714 - Community Facility,26,0
714 - Community Facility,27,0
714 - Community Facility,28,0
714 - Community Facility,29,0
714 - Community Facility,30,0
714 - Hillside Conservation Single Family,31,1
714 - Hillside Conservation Single Family,32,1
714 - Hillside Conservation Single Family,33,1
714 - Hillside Conservation Single Family,34,1
714 - Hillside Conservation Single Family,35,1
714 - Hillside Conservation Single Family,36,1
714 - Hillside Conservation Single Family,37,1
714 - Hillside Conservation Single Family,38,1
714 - Hillside Conservation Single Family,39,1
714 - Hillside Conservation Single Family,40,1
714 - Hillside Conservation Single Family,41,1
714 - Hillside Conservation Single Family,42,1
714 - Hillside Conservation Single Family,43,1
714 - Hillside Conservation Single Family,44,1
714 - Hillside Conservation Single Family,45,1
714 - Hillside Conservation Single Family,46,1
714 - Hillside Conservation Single Family,47,1
714 - Hillside Conservation Single Family,48,1
714 - Hillside Conservation Single Family,49,1
714 - Hillside Conservation Single Family,50,1
714 - Hillside Conservation Single Family,51,1
714 - Hillside Conservation Single Family,52,1
714 - Hillside Conservation Single Family,53,1
714 - Hillside Conservation Single Family,54,1
714 - Hillside Conservation Single Family,55,1
714 - Hillside Conservation Single Family,56,1
714 - Hillside Conservation Single Family,57,1
714 - Hillside Conservation Single Family,58,1
714 - Hillside Conservation Single Family,59,1
714 - Hillside Conservation Single Family,60,1
714 - Hillside Conservation Single Family,61,1
714 - Hillside Conservation Single Family,62,1
714 - Hillside Conservation Single Family,63,1
714 - Hillside Conservation Single Family,64,1
714 - Hillside Conservation Single Family,65,1
714 - Hillside Conservation Single Family,66,1
714 - Hillside Conservation Single Family,67,1
714 - Hillside Conservation Single Family,68,1
714 - Hillside Conservation Single Family,69,1
714 - Hillside Conservation Single Family,70,1
714 - Low Density,71,1
714 - Low Density,72,1
714 - Low Density,73,1
714 - Low Density,74,1
714 - Low Density,75,1
714 - Low Density,76,1
714 - Low Density,77,1
714 - Low Density,78,1
714 - Low Density,79,1
714 - Low Density,80,1
714 - Low Density,81,1
714 - Low Density,82,1
714 - Low Density,83,1
714 - Low Density,84,1
714 - Low Density,85,1
714 - Low Density,86,1
714 - Low Density,87,1
714 - Low Density,88,1
714 - Low Density,89,1
714 - Low Density,90,1
714 - Low Density,91,1
714 - Low Density,92,1
714 - Low Density,93,1
714 - Low Density,94,1
714 - Low Density,95,1
714 - Low Density,96,1
714 - Low Density,97,1
714 - Low Density,98,1
714 - Low Density,99,1
714 - Low Density,100,1
714 - Low Density,101,1
714 - Low Density,102,1
714 - Low Density,103,1
714 - Low Density,104,1
714 - Low Density,105,1
714 - Medium Density Residential,106,1
714 - Medium Density Residential,107,1
714 - Medium Density Residential,108,1
714 - Medium Density Residential,109,1
714 - Medium Density Residential,110,1
714 - Medium Density Residential,111,1
714 - Medium Density Residential,112,1
714 - Medium Density Residential,113,1
714 - Medium Density Residential,114,1
714 - Medium Density Residential,115,1
714 - Medium Density Residential,116,1
714 - Medium Density Residential,117,1
714 - Medium Density Residential,118,1
714 - Medium Density Residential,119,1
714 - Medium Density Residential,120,1
714 - Medium Density Residential,121,1
714 - Medium Density Residential,122,1
714 - Medium Density Residential,123,1
714 - Medium Density Residential,124,1
714 - Medium Density Residential,125,1
714 - Medium Density Residential,126,1
714 - Medium Density Residential,127,1
714 - Medium Density Residential,128,1
714 - Medium Density Residential,129,1
714 - Medium Density Residential,130,1
714 - Medium Density Residential,131,1
714 - Medium Density Residential,132,1
714 - Medium Density Residential,133,1
714 - Medium Density Residential,134,1
714 - Medium Density Residential,135,1
714 - Medium Density Residential,136,1
714 - Medium Density Residential,137,1
714 - Medium Density Residential,138,1
714 - Medium Density Residential,139,1
714 - Medium Density Residential,140,1
714 - Medium Density Residential,141,1
714 - Medium Density Residential,142,1
714 - Medium Density Residential,143,1
714 - Medium Density Residential,144,1
714 - Medium Density Residential,145,1
714 - Medium Density Residential,146,1
714 - Medium Density Residential,147,1
714 - Medium Density Residential,148,1
714 - Medium Density Residential,149,1
714 - Medium Density Residential,150,1
714 - Medium Density Residential,151,1
714 - Medium Density Residential,152,1
714 - Medium Density Residential,153,1
714 - Medium Density Residential,154,1
714 - Medium Density Residential,155,1
714 - Medium Density Residential,156,1
714 - Medium Density Residential,157,1
714 - Medium Density Residential,158,1
714 - Medium Density Residential,159,1
714 - Medium Density Residential,160,1
714 - Medium Density Residential,161,1
714 - Medium Density Residential,162,1
714 - Medium Density Residential,163,1
714 - Medium Density Residential,164,1
714 - Medium Density Residential,165,1
714 - Medium Density Residential,166,1
714 - Medium Density Residential,167,1
714 - Medium Density Residential,168,1
714 - Medium Density Residential,169,1
714 - Medium Density Residential,170,1
714 - Medium Density Residential,171,1
714 - Medium Density Residential,172,1
714 - Medium Density Residential,173,1
714 - Medium Density Residential,174,1
714 - Medium Density Residential,175,1
714 - Medium Density Residential,176,1
714 - Medium Density Residential,177,1
714 - Medium Density Residential,178,1
714 - Medium Density Residential,179,1
714 - Medium Density Residential,180,1
714 - Medium Density Residential,181,1
714 - Medium Density Residential,182,1
714 - Medium Density Residential,183,1
714 - Medium Density Residential,184,1
