OBJECTID,SHAPESTAre,SHAPESTLen,BaseZone,Zoning
1,11900.7353516,438.38762618598275,CC,0
2,5551.51367188,304.24081057724266,CC,0
3,67608.9990234,1372.16282163,CC,0
4,30053.8125,929.3645294198556,CC,0
5,48743.0556641,911.8321395197908,CC,0
6,7201.53417969,359.8699799944124,CC,0
7,43803.0341797,962.0936356350122,CC,0
8,13225.6445313,493.1755427281435,CC,0
9,23141.6982422,936.5307316545174,CC,0
10,32324.2861328,811.5819958209825,CN-1,0
11,19864.2978516,621.5161357843778,CN-1,0
12,33151.0234375,819.0064003543689,CN-1,0
13,22606.2646484,667.9432095561784,CN-1,0
14,23591.9355469,671.7141748572953,CN-1,0
15,110860.623047,1920.80280427,CN-2,0
16,24042.4716797,684.2945742702626,CR,0
17,11524.5830078,511.46916680684296,CR,0
18,23870.3955078,678.3275552890385,CR,0
19,42832.2626953,837.4124837755406,CR,0
20,24104.1464844,684.2572620963731,CR,0
21,38651.7480469,804.8227541530943,CR,0
22,33599.5742188,760.9858380390353,CR,0
23,24006.3828125,680.5564045695209,CR,0
24,28226.1640625,714.2867862079146,CR,0
25,23830.3818359,678.7850116386044,CR,0
26,23159.7138672,671.1470884477026,CR,0
27,19921.8613281,625.4155919709202,CR,0
28,67772.9746094,1169.35414236,CS,0
29,37092.9580078,1252.25981918,CW,0
30,60716.3955078,1545.91264517,CW,0
31,43675.5351563,843.4913113575061,CW,0
32,47764.1005859,878.57231163782,CW,0
33,31456.7509766,1192.36239259,CW,0
37,1541998.85645,11435.3849948,I,0
38,770406.671875,5962.75635348,I,0
39,8774.28515625,378.90369266974807,I,0
40,13444.4257813,469.3784171227639,I,0
41,515669.983398,4176.47756637,I,0
47,11888.0615234,684.263725108101,OS,0
48,462233.712891,3524.49045816,OS,0
49,234301.319336,2135.42445224,OS,0
50,20226.1943359,623.5966072269068,OS,0
51,173177.842773,2557.09197196,OS,0
52,187786.756836,2578.27988106,OS,0
53,147211.324219,1841.15974819,OS,0
54,16035.3916016,521.292906507119,OS,0
55,2647.87109375,211.28724953750222,OS,0
56,29775.0917969,867.1632882587069,OS,0
57,7895.00195313,366.55274713907124,OS,0
58,67277.7470703,1479.16291965,OS,0
59,5395.03320313,294.2121713071356,OS,0
60,51492.4375,908.759099465466,OS,0
61,3213.29785156,246.59336261183483,OS,0
62,3967.21972656,270.8145976549618,OS,0
63,12290.8691406,492.3015519922206,OS,0
64,9426.64550781,445.49060096842925,OS,0
65,6874.65722656,362.0963433539375,OS,0
66,704036.323242,4431.58194947,OS,0
67,2617.17480469,256.6984165524523,OS,0
68,2701.578125,274.66052144234675,OS,0
69,22661.640625,964.7112950370971,OS,0
70,19247.6806641,965.8298721724387,OS,0
71,45694.3671875,1329.24926411,OS,0
72,2845.3828125,223.25596896256783,OS,0
73,9072412.46289,20649.3907189,OS,0
74,42745.9589844,1042.45396098,PI,0
75,6360.09472656,329.1201764216368,PI,0
76,159877.74707,3235.74269137,PI,0
77,11932.0976563,516.8998811437409,PI,0
78,132355.239258,1872.27378873,PI,0
79,95995.2421875,1281.72862243,PI,0
80,54385.9238281,1109.55506248,PI,0
81,572711.079102,3003.9518747,PI,0
82,26518.6738281,656.5105855209035,PI,0
84,91345.3134766,1380.76332178,PI,0
85,749356.108398,3855.27878374,PI,0
86,25144.5722656,662.0354535095425,PP,0
87,11784.0917969,510.06120241587945,PP,0
88,2981.03027344,244.94754278841862,PP,0
89,13905.8105469,518.0986412186421,PP,0
90,5620.70605469,304.652657697366,PP,0
91,1902.99023438,206.9514957620277,PP,0
92,32658.5800781,891.0126638870556,PP,0
93,38668.2304688,802.2272806753839,PP,0
94,35430.2871094,754.6646223130438,PP,0
99,6194.59472656,343.2382193714615,PP,0
100,123528.90332,1418.34629062,PP,0
101,485204.205078,3272.26107742,PR,2
102,19208.8916016,573.4339112438773,R-1-20,1
103,44073.9326172,884.825594491312,R-1-20,1
104,32190.8125,828.4158999243978,R-1-20,1
105,33701.7529297,993.3687985260549,R-1-20,1
106,772075.498047,6035.9939271,R-1-20,1
107,15819.2685547,620.4084967639002,R-1-20,1
108,217063.776367,3003.97141942,R-1-20,1
109,17.5615234375,29.503076091111126,R-1-6,1
110,129135.261719,1856.8829159,R-1-6,1
111,116066.472656,1967.21801592,R-1-6,1
112,74160.6787109,1701.62075945,R-1-6,1
113,1098.6796875,176.14823544754805,R-1-6,1
114,99479.4755859,1572.95269952,R-1-6,1
115,85098.4931641,1172.07200377,R-1-6,1
116,83872.8574219,1578.50860118,R-1-6,1
117,54190.8662109,1079.86700651,R-1-6,1
118,49558.6748047,1122.50324075,R-1-6,1
119,64807.2548828,1098.44347057,R-1-6,1
120,20091.2402344,691.6689278950514,R-1-6,1
121,52801.7324219,927.0704796487391,R-1-6,1
122,80952.875,1151.42747266,R-1-6,1
123,265327.046875,2881.26621199,R-1-6,1
124,333195.019531,3640.50723356,R-1-6,1
125,197548.851563,2539.21681427,R-1-6,1
126,79893.1054688,1537.06250315,R-1-6,1
127,321975.93457,3738.58723942,R-1-6,1
128,63682.2753906,1463.82861471,R-1-6,1
129,78264.7021484,1383.75560377,R-1-6,1
130,589427.636719,4536.17048551,R-1-6,1
131,215883.303711,2832.47360089,R-1-6,1
132,273802.606445,3675.06962454,R-1-6,1
133,36191.1914063,1053.71345416,R-1-6,1
134,23302.859375,717.121568876542,R-1-6,1
135,488771.928711,5511.31286915,R-1-6,1
136,26453,714.8347960083908,R-1-6,1
137,267826.995117,1937.84333941,R-1-6,1
138,288848.540039,4196.58169203,R-1-6,1
139,103214.448242,1872.04014499,R-1-6,1
140,402659.549805,5246.29079547,R-1-6,1
141,115164.224609,2351.03367337,R-1-6,1
142,116604.583008,2506.31592863,R-1-6,1
143,124987.158203,2559.05893446,R-1-6,1
144,52067.6503906,1285.39067342,R-1-6,1
145,39471.7597656,1035.58140511,R-1-6,1
146,130665.754883,1900.4248055,R-1-6,1
147,72618.8613281,1280.21324054,R-1-6,1
148,157591.358398,2267.2032692,R-1-6,1
149,124322.017578,2131.15660078,R-1-6,1
150,95985.1103516,1284.86380021,R-1-6,1
151,65839.1796875,1392.18173164,R-1-6,1
152,72816.1992188,1172.42543024,R-1-8,1
153,85326.6113281,1312.67651094,R-1-8,1
154,7328.48828125,446.3913048280077,R-1-8,1
155,124327.421875,2026.16157147,R-1-8,1
156,36320.0888672,821.5692706120374,R-1-8,1
157,214489.367188,3109.91956642,R-1-8,1
158,192084.015625,3510.4588843,R-1-8,1
159,178977.802734,2610.52671443,R-1-8,1
160,291355.492188,4016.66744926,R-1-8,1
161,295909.236328,2983.91922859,R-1-8,1
162,451.478515625,88.07106449724648,R-2-2.5,2
163,451.59765625,88.07954594972598,R-2-2.5,2
164,214803.84082,2448.49697361,R-2-2.5,2
165,273258.62207,2660.01615845,R-2-2.5,2
166,127062.224609,1740.63175881,R-2-2.5,2
167,15229.6484375,520.6998214155863,R-2-2.5,2
168,93856.7158203,1409.46432803,R-2-2.5,2
169,44832.9882813,831.5749515597054,R-2-2.5,2
170,40846.1386719,871.3200317655567,R-2-2.5,2
171,9322.05957031,552.3201969846805,R-2-2.5,2
172,12225.8369141,522.8541747153445,R-2-2.5,2
173,98002.0898438,1660.17529936,R-2-2.5,2
174,64720.8310547,1016.23519883,R-2-2.5,2
175,65856.6064453,1038.75399506,R-2-2.5,2
176,107646.367188,1608.24009745,R-2-2.5,2
177,76003.8212891,1223.70219621,R-2-2.5,2
178,65065.1777344,1033.25121615,R-2-2.5,2
179,65946.7568359,1038.10941523,R-2-2.5,2
180,97533.8457031,1493.88555294,R-2-2.5,2
181,76085.7392578,1322.85584538,R-2-2.5,2
182,38917.5595703,793.7615704952731,R-2-2.5,2
183,73419.2109375,1555.57011968,R-2-2.5,2
184,66276.7558594,1041.80310868,R-2-2.5,2
185,19984.484375,784.4885786226014,R-2-2.5,2
186,78483.0527344,1380.17594028,R-2-2.5,2
187,73147.2441406,1507.8565009,R-2-2.5,2
188,77824.8505859,1167.46059267,R-2-2.5,2
189,69147.5537109,1026.01024029,R-2-2.5,2
190,37784.7744141,817.6657104099145,R-2-2.5,2
