Zone,ZONE_Desc,Shape_Leng,Shape_Area,Zoning
CD,Downtown Core,1085.04416906,65111.1781737,NA
CD,Downtown Core,1576.63354477,155139.792513,NA
CD,Downtown Core,475.318033578,10723.679422,NA
CD,Downtown Core,1490.5783326,124389.720895,NA
CD,Downtown Core,1155.85977687,77342.6301526,NA
CD,Downtown Core,540.112918175,11913.8137447,NA
CD,Downtown Core,1088.5544637,67387.7475865,NA
CD,Downtown Core,936.400941178,55567.2874416,NA
CD,Downtown Core,535.807396934,14858.5917329,NA
CD,Downtown Core,3041.58941966,417264.89278,NA
CD,Downtown Core,1019.23166213,46685.0153097,NA
CD,Downtown Core,1479.44722053,85543.9527727,NA
CD,Downtown Core,1931.64479516,116453.544135,NA
CD,Downtown Core,972.413344601,52388.0277864,NA
CD,Downtown Core,881.57092692,45135.4318092,NA
CD,Downtown Core,1983.3482082,132110.736965,NA
CD,Downtown Core,1150.56841638,84582.3845966,NA
CD,Downtown Core,1476.01516576,119863.908045,NA
CD,Downtown Core,3544.30512825,231704.252562,NA
CD,Downtown Core,1958.41291674,229992.136218,NA
CD,Downtown Core,1210.77737008,64804.3641765,NA
CF,Community Facilities,1999.56672967,149818.714263,NA
CF,Community Facilities,354.038187441,4264.84160294,NA
CF,Community Facilities,1445.18998921,62493.0137078,NA
CF,Community Facilities,2691.28308477,316181.620836,NA
CF,Community Facilities,393.766514461,5953.00234547,NA
CF,Community Facilities,198.605728849,1538.86817403,NA
CF,Community Facilities,207.675109765,2204.46085019,NA
CF,Community Facilities,345.824931976,7689.4607751,NA
CF,Community Facilities,5079.64915989,1042241.82532,NA
CF,Community Facilities,230.262026521,1973.12958079,NA
CF,Community Facilities,2616.23531765,374630.677516,NA
CF,Community Facilities,2345.69378516,271679.13267,NA
CF,Community Facilities,390.797703116,5773.47083872,NA
CF,Community Facilities,3747.88462893,605355.009026,NA
CF,Community Facilities,949.021284715,53664.3638644,NA
CF,Community Facilities,422.493048475,8233.95828956,NA
CF,Community Facilities,2421.04284701,362366.148235,NA
CF,Community Facilities,813.92329028,40589.9445769,NA
CF,Community Facilities,839.65509004,43019.1866442,NA
CF,Community Facilities,1284.47940429,71884.6360368,NA
CF,Community Facilities,834.787337927,39273.4516308,NA
CF,Community Facilities,1105.61757773,45432.8171204,NA
CF,Community Facilities,1433.78328219,113665.118717,NA
CF,Community Facilities,5215.36739359,1018611.44091,NA
CF,Community Facilities,1779.76359199,165459.318468,NA
CF,Community Facilities,5074.00460591,1145022.10977,NA
CG,General Commercial,1109.20361612,73731.0576606,NA
CG,General Commercial,1331.80810368,102789.370506,NA
CG,General Commercial,1504.54422968,105020.563878,NA
CG,General Commercial,1996.11023371,163319.091011,NA
CG,General Commercial,1713.18169748,83372.7345307,NA
CG,General Commercial,981.555054081,50058.9025897,NA
CG,General Commercial,2764.08438389,216810.203941,NA
CG,General Commercial,3767.83160494,441067.237036,NA
CG,General Commercial,1238.41964561,66449.2005554,NA
CG,General Commercial,670.572063675,25475.0379637,NA
CG,General Commercial,829.28800648,30274.5206124,NA
CG,General Commercial,775.635572464,35980.2920847,NA
CG,General Commercial,4100.46172881,503153.227609,NA
CG,General Commercial,1368.4045814,85097.1572692,NA
CG,General Commercial,2391.28491206,197012.69443,NA
CM,Community Industrial,3494.65305155,512682.091466,NA
CO,Office Commercial,1490.56023525,100375.951492,NA
CO,Office Commercial,2547.67476975,216575.161121,NA
CO,Office Commercial,445.13551859,11265.7285672,NA
CO,Office Commercial,380.828647023,9033.55762515,NA
CO,Office Commercial,1264.21024639,74225.6372886,NA
CO,Office Commercial,2039.19649757,170110.662061,NA
CO,Office Commercial,558.529379462,17760.6170608,NA
CO,Office Commercial,3124.19635905,520073.994244,NA
CO,Office Commercial,830.270947129,40044.2835563,NA
CO,Office Commercial,683.35502287,27305.2413319,NA
CO,Office Commercial,2021.07847809,121234.721397,NA
CO,Office Commercial,1198.93375127,84810.8524011,NA
CO,Office Commercial,1302.74051465,83414.5445322,NA
CO,Office Commercial,1192.82494679,65486.0160971,NA
CO,Office Commercial,977.872822527,51842.5980051,NA
CO,Office Commercial,729.444055448,26969.8052986,NA
CO,Office Commercial,1117.4711044,72451.813533,NA
CO,Office Commercial,378.142393847,8893.56342633,NA
CO,Office Commercial,1341.20204345,61201.0341937,NA
CO,Office Commercial,817.969677211,30893.7314762,NA
CO,Office Commercial,1349.10433689,72969.8208762,NA
CO,Office Commercial,930.42887301,44091.0613562,NA
CO,Office Commercial,752.152085562,31409.52271,NA
CO,Office Commercial,447.858972272,12383.2504062,NA
CO,Office Commercial,896.519687803,40658.6766812,NA
CO,Office Commercial,896.47916436,38750.3177249,NA
CO,Office Commercial,2077.00761306,109089.257613,NA
M,Industrial,1317.97245518,101771.342604,NA
M,Industrial,2000.77508313,172369.209745,NA
M,Industrial,1755.53547691,174256.379461,NA
