gnrl_p_,id,zoning
618 - Business and Technology Park,0,0
618 - Business and Technology Park,1,0
618 - Business and Technology Park,2,0
618 - Business and Technology Park,3,0
618 - Business and Technology Park,4,0
618 - Business and Technology Park,5,0
618 - Business and Technology Park,6,0
618 - Business and Technology Park,7,0
618 - Business and Technology Park,8,0
618 - Business and Technology Park,9,0
618 - Business and Technology Park/ Coastal Commercial,10,0
618 - Business Commercial,11,0
618 - Business Commercial,12,0
618 - Business Commercial,13,0
618 - Business Commercial,14,0
618 - Business Commercial,15,0
618 - Business Commercial,16,0
618 - Business Commercial,17,0
618 - Business Commercial,18,0
618 - Business Commercial,19,0
618 - Business Commercial,20,0
618 - Business Commercial,21,0
618 - Business Commercial,22,0
618 - Business Commercial,23,0
618 - Business Commercial,24,0
618 - Business Commercial,25,0
618 - Business Commercial,26,0
618 - Business Commercial,27,0
618 - Business Commercial,28,0
618 - Business Commercial,29,0
618 - Business Commercial,30,0
618 - Business Commercial,31,0
618 - Business Commercial,32,0
618 - Business Commercial,33,0
618 - Business Commercial,34,0
618 - Business Commercial,35,0
618 - Business Commercial,36,0
618 - Business Commercial,37,0
618 - Business Commercial,38,0
618 - Business Commercial,39,0
618 - Business Commercial,40,0
618 - Business Commercial,41,0
618 - Business Commercial,42,0
618 - Business Commercial,43,0
618 - Business Commercial,44,0
618 - Business Commercial,45,0
618 - Business Commercial,46,0
618 - Business Commercial,47,0
618 - Business Commercial,48,0
618 - Business Commercial,49,0
618 - Business Commercial,50,0
618 - Business Commercial,51,0
618 - Business Commercial,52,0
618 - Business Commercial,53,0
618 - Business Commercial,54,0
618 - Coastal Commercial,55,0
618 - Coastal Commercial,56,0
618 - Coastal Commercial,57,0
618 - Coastal Commercial,58,0
618 - Coastal Commercial,59,0
618 - Coastal Commercial,60,0
618 - Community Commercial,61,0
618 - Community Commercial,62,0
618 - Community Commercial,63,0
618 - Community Commercial,64,0
618 - Community Commercial,65,0
618 - Community Commercial,66,0
618 - Community Commercial,67,0
618 - Community Commercial,68,0
618 - Community Commercial,69,0
618 - Community Commercial,70,0
618 - Community Commercial,71,0
618 - Community Commercial,72,0
618 - Community Commercial,73,0
618 - Community Commercial,74,0
618 - Community Commercial,75,0
618 - Community Commercial,76,0
618 - Community Commercial,77,0
618 - Community Commercial,78,0
618 - Community Commercial,79,0
618 - Community Commercial,80,0
618 - Community Commercial,81,0
618 - Community Commercial,82,0
618 - Community Commercial,83,0
618 - Community Commercial,84,0
618 - Community Commercial,85,0
618 - Community Commercial,86,0
618 - Community Commercial,87,0
618 - Community Commercial,88,0
618 - Community Commercial,89,0
618 - Community Commercial,90,0
618 - Community Commercial,91,0
618 - Community Commercial,92,0
618 - Community Commercial,93,0
618 - Community Commercial,94,0
618 - Community Commercial,95,0
618 - Community Commercial,96,0
618 - Community Commercial,97,0
618 - Community Commercial,98,0
618 - Downtown Commercial,99,0
618 - Downtown Commercial,100,0
618 - Downtown Commercial,101,0
618 - Downtown Commercial,102,0
618 - Downtown Commercial,103,0
618 - Downtown Commercial,104,0
618 - Downtown Commercial,105,0
618 - Downtown Commercial,106,0
618 - Downtown Commercial,107,0
618 - Downtown Commercial,108,0
618 - Downtown Commercial,109,0
618 - Downtown Commercial,110,0
618 - Downtown Commercial,111,0
618 - Downtown Commercial,112,0
618 - Downtown Commercial,113,0
618 - Downtown Commercial,114,0
618 - Downtown Commercial,115,0
618 - Downtown Commercial,116,0
618 - Downtown Commercial,117,0
618 - Downtown Commercial,118,0
618 - Downtown Commercial,119,0
618 - Downtown Commercial,120,0
618 - Downtown Commercial,121,0
618 - Downtown Commercial,122,0
618 - Downtown Commercial,123,0
618 - Downtown High Density Residential,124,2
618 - Downtown High Density Residential,125,2
618 - Downtown High Density Residential,126,2
618 - Downtown High Density Residential,127,2
618 - Downtown High Density Residential,128,2
618 - Downtown High Density Residential,129,2
618 - Downtown High Density Residential,130,2
618 - Downtown High Density Residential,131,2
618 - Downtown High Density Residential,132,2
618 - Downtown High Density Residential,133,2
618 - Downtown High Density Residential,134,2
618 - Downtown High Density Residential,135,2
618 - Downtown High Density Residential,136,2
618 - Downtown High Density Residential,137,2
618 - Downtown High Density Residential,138,2
618 - Downtown High Density Residential,139,2
618 - Downtown High Density Residential,140,2
618 - Downtown High Density Residential,141,2
618 - Downtown High Density Residential,142,2
618 - Downtown High Density Residential,143,2
618 - Downtown High Density Residential,144,2
618 - Downtown High Density Residential,145,2
618 - Downtown High Density Residential,146,2
618 - Downtown High Density Residential,147,2
618 - Downtown High Density Residential,148,2
618 - Downtown High Density Residential,149,2
618 - Downtown High Density Residential,150,2
618 - Downtown High Density Residential,151,2
618 - Downtown High Density Residential,152,2
618 - Downtown High Density Residential,153,2
618 - Downtown High Density Residential,154,2
618 - Downtown High Density Residential,155,2
618 - Downtown High Density Residential,156,2
618 - Downtown High Density Residential,157,2
618 - Downtown High Density Residential,158,2
618 - Downtown High Density Residential,159,2
618 - Downtown High Density Residential,160,2
618 - Downtown High Density Residential,161,2
618 - Downtown High Density Residential,162,2
618 - Downtown High Density Residential,163,2
618 - Downtown High Density Residential,164,2
618 - Downtown High Density Residential,165,2
618 - Downtown High Density Residential,166,2
618 - Downtown High Density Residential,167,2
618 - Downtown High Density Residential,168,2
618 - Downtown High Density Residential,169,2
618 - Downtown High Density Residential,170,2
618 - Downtown High Density Residential,171,2
618 - Downtown High Density Residential,172,2
618 - Downtown High Density Residential,173,2
618 - Downtown High Density Residential/ Business Commercial,174,0
618 - Downtown High Density Residential/ Business Commercial,175,0
618 - Downtown High Density Residential/ Business Commercial,176,0
618 - Downtown High Density Residential/ Business Commercial_MF,177,2
618 - Downtown High Density Residential/ Community Commercial,178,0
618 - Downtown High Density Residential/ Community Commercial,179,0
618 - Downtown High Density Residential/ Community Commercial,180,0
618 - Downtown High Density Residential/ Community Commercial,181,0
618 - Downtown High Density Residential/ Community Commercial,182,0
618 - Downtown High Density Residential/ Community Commercial_MF,183,2
618 - Downtown High Density Residential/ Community Commercial,184,0
618 - Downtown High Density Residential/ Community Commercial,185,0
618 - Downtown High Density Residential/ Community Commercial_MF,186,2
618 - Downtown High Density Residential/ Community Commercial,187,0
618 - Downtown High Density Residential/ Community Commercial,188,0
618 - Downtown High Density Residential/ Community Commercial,189,0
618 - Downtown High Density Residential/ Community Commercial_MF,190,2
618 - Downtown High Density Residential/ Community Commercial_MF,191,2
618 - Downtown Low Density Residential,192,1
618 - Downtown Low Density Residential,193,1
618 - Downtown Low Density Residential,194,1
618 - Downtown Low Density Residential,195,1
618 - Downtown Low Density Residential,196,1
618 - Downtown Low Density Residential,197,1
618 - Downtown Low Density Residential,198,1
618 - Downtown Low Density Residential,199,1
618 - Downtown Low Density Residential,200,1
618 - Downtown Low Density Residential,201,1
618 - Downtown Low Density Residential,202,1
618 - Downtown Low Density Residential,203,1
618 - Downtown Low Density Residential,204,1
618 - Downtown Low Density Residential,205,1
618 - Downtown Low Density Residential,206,1
618 - Downtown Low Density Residential,207,1
618 - Downtown Low Density Residential,208,1
618 - Downtown Low Density Residential,209,1
618 - Downtown Low Density Residential,210,1
618 - Downtown Low Density Residential,211,1
618 - Downtown Low Density Residential,212,1
618 - Downtown Low Density Residential,213,1
618 - Downtown Low Density Residential,214,1
618 - Downtown Low Density Residential,215,1
618 - Downtown Low Density Residential,216,1
618 - Downtown Low Density Residential,217,1
618 - Downtown Low Density Residential,218,1
618 - Downtown Low Density Residential,219,1
618 - Downtown Low Density Residential,220,1
618 - Downtown Low Density Residential,221,1
618 - Downtown Medium Density Residential,222,2
618 - Downtown Medium Density Residential,223,2
618 - Downtown Medium Density Residential,224,2
618 - Downtown Medium Density Residential,225,2
618 - Downtown Medium Density Residential,226,2
618 - Downtown Medium Density Residential,227,2
618 - Downtown Medium Density Residential,228,2
618 - Downtown Medium Density Residential,229,2
618 - Downtown Medium Density Residential,230,2
