gnrl_p_,id,edt_g__,zoning
805 - Agriculture-Open Space,0,805 - Agriculture-Open Space,0
805 - Agriculture-Open Space,1,805 - Agriculture-Open Space,0
805 - Commercial Service,2,805 - Commercial Service,0
805 - Commercial Service,3,805 - Commercial Service,0
805 - Commercial Service_MF,4,805 - Commercial Service_MF,2
805 - Commercial Service,5,805 - Commercial Service,0
805 - Commercial Service,6,805 - Commercial Service,0
805 - Commercial Service,7,805 - Commercial Service,0
805 - Common Parking,8,805 - Common Parking,0
805 - Common Parking,9,805 - Common Parking,0
805 - Common Parking,10,805 - Common Parking,0
805 - Common Parking,11,805 - Common Parking,0
805 - Fairfield Streams Project,12,805 - Fairfield Streams Project,0
805 - Fairfield Streams Project,13,805 - Fairfield Streams Project,0
805 - General Commercial,14,805 - General Commercial_MF,2
805 - General Commercial,15,805 - General Commercial,0
805 - General Commercial,16,805 - General Commercial,0
805 - General Commercial,17,805 - General Commercial_MF,2
805 - General Commercial,18,805 - General Commercial,0
805 - General Commercial,19,805 - General Commercial,0
805 - General Commercial,20,805 - General Commercial,0
805 - General Commercial,21,805 - General Commercial,0
805 - High Density Residential,22,805 - High Density Residential,2
805 - High Density Residential,23,805 - High Density Residential,2
805 - High Density Residential,24,805 - High Density Residential,2
805 - High Density Residential,25,805 - High Density Residential,2
805 - High Density Residential,26,805 - High Density Residential,2
805 - High Density Residential,27,805 - High Density Residential,2
805 - High Density Residential,28,805 - High Density Residential,2
805 - High Density Residential,29,805 - High Density Residential,2
805 - Historic Limited Commercial,30,805 - Historic Limited Commercial_MF,2
805 - Historic Limited Commercial,31,805 - Historic Limited Commercial_MF,2
805 - Limited Industrial/Business Park,32,805 - Limited Industrial/Business Park,0
805 - Limited Industrial/Commercial Service,33,805 - Limited Industrial/Commercial Service,0
805 - Low Density Residential,34,805 - Low Density Residential,2
805 - Low Density Residential,35,805 - Low Density Residential,2
805 - Low Density Residential,36,805 - Low Density Residential,2
805 - Low Density Residential,37,805 - Low Density Residential,2
805 - Low Density Residential,38,805 - Low Density Residential,2
805 - Low Density Residential,39,805 - Low Density Residential,2
805 - Low Density Residential,40,805 - Low Density Residential,2
805 - Low Density Residential,41,805 - Low Density Residential,2
805 - Low Density Residential,42,805 - Low Density Residential,2
805 - Low Density Residential,43,805 - Low Density Residential,2
805 - Low Density Residential,44,805 - Low Density Residential,2
805 - Low Density Residential,45,805 - Low Density Residential,2
805 - Low Density Residential,46,805 - Low Density Residential,2
805 - Low Density Residential,47,805 - Low Density Residential,2
805 - Low Density Residential,48,805 - Low Density Residential,2
805 - Low Density Residential,49,805 - Low Density Residential,2
805 - Low Density Residential,50,805 - Low Density Residential,2
805 - Low Density Residential,51,805 - Low Density Residential,2
805 - Low Density Residential,52,805 - Low Density Residential,2
805 - Low Density Residential,53,805 - Low Density Residential,2
805 - Low Density Residential,54,805 - Low Density Residential_NonRes,0
805 - Low Density Residential,55,805 - Low Density Residential,2
805 - Low Density Residential,56,805 - Low Density Residential,2
805 - Low Density Residential,57,805 - Low Density Residential,2
805 - Low Density Residential,58,805 - Low Density Residential,2
805 - Low Density Residential,59,805 - Low Density Residential,2
805 - Low Density Residential,60,805 - Low Density Residential,2
805 - Main Street Commercial,61,805 - Main Street Commercial_MF,2
805 - Main Street Commercial,62,805 - Main Street Commercial,0
805 - Main Street Commercial,63,805 - Main Street Commercial,0
805 - Main Street Commercial,64,805 - Main Street Commercial,0
805 - Marina,65,805 - Marina_MF,2
805 - Medium Density Residential,66,805 - Medium Density Residential,2
805 - Medium Density Residential,67,805 - Medium Density Residential,2
805 - Medium Density Residential,68,805 - Medium Density Residential,2
805 - Medium Density Residential,69,805 - Medium Density Residential,2
805 - Medium Density Residential,70,805 - Medium Density Residential,2
805 - Medium Density Residential,71,805 - Medium Density Residential,2
805 - Medium Density Residential,72,805 - Medium Density Residential,2
805 - Medium Density Residential,73,805 - Medium Density Residential,2
805 - Medium Density Residential,74,805 - Medium Density Residential,2
805 - Medium Density Residential,75,805 - Medium Density Residential,2
805 - Medium Density Residential,76,805 - Medium Density Residential,2
805 - Medium Density Residential,77,805 - Medium Density Residential,2
805 - Mixed Use/PUD,78,805 - Mixed Use/PUD,0
805 - Mixed Use/PUD,79,805 - Mixed Use/PUD,0
805 - Park,80,805 - Park,0
805 - Park,81,805 - Park,0
805 - Park,82,805 - Park,0
805 - Park,83,805 - Park,0
805 - Park,84,805 - Park,0
805 - Park,85,805 - Park,0
805 - Park,86,805 - Park,0
805 - Park,87,805 - Park,0
805 - Public Access to Waterways,88,805 - Public Access to Waterways,0
805 - Public Access to Waterways,89,805 - Public Access to Waterways,0
805 - Public Access to Waterways,90,805 - Public Access to Waterways,0
805 - Public/Quasi-Public Facilities,91,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,92,805 - Public/Quasi-Public Facilities_MF,2
805 - Public/Quasi-Public Facilities,93,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,94,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,95,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,96,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,97,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,98,805 - Public/Quasi-Public Facilities,0
805 - Public/Quasi-Public Facilities,99,805 - Public/Quasi-Public Facilities,0
805 - PUD Commercial,100,805 - PUD Commercial,0
805 - PUD Commercial,101,805 - PUD Commercial,0
805 - PUD Commercial,102,805 - PUD Commercial,0
805 - PUD Commercial,103,805 - PUD Commercial,0
