general_pl,id,city_name,Zoning
Low Med Res.,0,sunnyvale,1
Schools,1,sunnyvale,NA
Parks,2,sunnyvale,NA
Low Med Res.,3,sunnyvale,1
Low Med Res.,4,sunnyvale,1
Parks,5,sunnyvale,NA
Med Res.,6,sunnyvale,2
Mobile Home Res.,7,sunnyvale,2
High Res.,8,sunnyvale,2
Med Res.,9,sunnyvale,2
Low Med Res.,10,sunnyvale,1
Ind. to Res. (Me,11,sunnyvale,NA
Low Med Res.,12,sunnyvale,1
Med Res.,13,sunnyvale,2
Med Res.,14,sunnyvale,2
Schools,15,sunnyvale,NA
Parks,16,sunnyvale,NA
Low Med Res.,17,sunnyvale,1
High Res.,18,sunnyvale,2
Med Res.,19,sunnyvale,2
General Business,20,sunnyvale,NA
High Res.,21,sunnyvale,2
Ind. to Res. (Me,22,sunnyvale,2
Ind. to Res. (Me,23,sunnyvale,2
Med Res.,24,sunnyvale,2
Low Res.,25,sunnyvale,1
Schools,26,sunnyvale,NA
Low Res.,27,sunnyvale,1
Parks,28,sunnyvale,NA
High Res.,29,sunnyvale,2
Neighborhood Com,30,sunnyvale,NA
Neighborhood Com,31,sunnyvale,NA
Parks,32,sunnyvale,NA
Med Res.,33,sunnyvale,2
Schools,34,sunnyvale,NA
Parks,35,sunnyvale,NA
Med Res.,36,sunnyvale,2
Low Med Res.,37,sunnyvale,1
Med Res.,38,sunnyvale,2
Parks,39,sunnyvale,NA
High Res.,40,sunnyvale,2
Low Med Res.,41,sunnyvale,1
Med Res.,42,sunnyvale,2
Neighborhood Com,43,sunnyvale,NA
Med Res.,44,sunnyvale,2
Schools,45,sunnyvale,NA
Neighborhood Com,46,sunnyvale,NA
High Res.,47,sunnyvale,2
Low Med Res.,48,sunnyvale,1
Med Res.,49,sunnyvale,2
Schools,50,sunnyvale,NA
DSP,51,sunnyvale,NA
Low Med Res.,52,sunnyvale,1
Med Res.,53,sunnyvale,2
Schools,54,sunnyvale,NA
Low Res.,55,sunnyvale,1
Low Med Res.,56,sunnyvale,1
Office,57,sunnyvale,NA
Parks,58,sunnyvale,NA
Schools,59,sunnyvale,NA
Schools,60,sunnyvale,NA
Neighborhood Com,61,sunnyvale,NA
Parks,62,sunnyvale,NA
Low Med Res.,63,sunnyvale,1
Schools,64,sunnyvale,NA
Schools,65,sunnyvale,NA
Parks,66,sunnyvale,NA
Office,67,sunnyvale,NA
Office,68,sunnyvale,NA
Low Med Res.,69,sunnyvale,1
Neighborhood Com,70,sunnyvale,NA
Low Med Res.,71,sunnyvale,1
Schools,72,sunnyvale,NA
Med Res.,73,sunnyvale,2
Low Med Res.,74,sunnyvale,1
Low Res.,75,sunnyvale,1
Low Med Res.,76,sunnyvale,1
Ind. to Res. (Lo,77,sunnyvale,NA
Low Med Res.,78,sunnyvale,1
Parks,79,sunnyvale,NA
Schools,80,sunnyvale,NA
Low Med Res.,81,sunnyvale,1
Schools,82,sunnyvale,NA
Office,83,sunnyvale,NA
Low Med Res.,84,sunnyvale,1
Med Res.,85,sunnyvale,2
Schools,86,sunnyvale,NA
Schools,87,sunnyvale,NA
Office,88,sunnyvale,NA
Low Res.,89,sunnyvale,1
Civic Center,90,sunnyvale,NA
Low Med Res.,91,sunnyvale,1
Med Res.,92,sunnyvale,2
Low Med Res.,93,sunnyvale,1
Med Res.,94,sunnyvale,2
Com Intensificat,95,sunnyvale,NA
General Business,96,sunnyvale,NA
Med Res.,97,sunnyvale,2
Schools,98,sunnyvale,NA
Parks,99,sunnyvale,NA
High Res.,100,sunnyvale,2
Low Med Res.,101,sunnyvale,1
Schools,102,sunnyvale,NA
Med Res.,103,sunnyvale,2
Schools,104,sunnyvale,NA
Low Med Res.,105,sunnyvale,1
Schools,106,sunnyvale,NA
Parks,107,sunnyvale,NA
General Business,108,sunnyvale,NA
Low Med Res.,109,sunnyvale,1
Low Med Res.,110,sunnyvale,1
Industry,111,sunnyvale,NA
Low Med Res.,112,sunnyvale,1
Med Res.,113,sunnyvale,2
High Res.,114,sunnyvale,2
Low Med Res.,115,sunnyvale,1
Low Res.,116,sunnyvale,1
High Res.,117,sunnyvale,2
Ind. to Res. (Me,118,sunnyvale,2
High Res.,119,sunnyvale,2
Parks,120,sunnyvale,NA
Schools,121,sunnyvale,NA
Med Res.,122,sunnyvale,2
Schools,123,sunnyvale,NA
Schools,124,sunnyvale,NA
Neighborhood Com,125,sunnyvale,NA
Very High Res.,126,sunnyvale,2
General Business,127,sunnyvale,NA
Med Res.,128,sunnyvale,2
Neighborhood Com,129,sunnyvale,NA
Low Med Res.,130,sunnyvale,1
Schools,131,sunnyvale,NA
