FID_1,DATE_CREAT,DATE_UPDAT,EDITOR,SPECIFICPL,PRIMARY_ZO,COMBINING_,COMBININ_1,COMBININ_2,COMBININ_3,YARD_REQUI,AREAPLAN,PD_ZU_NUMB,MBSA_ACRE,MBSA_SQFT,MEDIAN_LOT,FRONT_YARD,SIDE_YARD,LABEL,Notes,GlobalID,SHAPE_Leng,SHAPE_Area,Zoning
1,2011-03-04,2011-03-04,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{773D08D1-DAAC-4BD8-976F-C279C45A6B0D},0.007004149512659,6.29835124e-7,1
2,2011-03-04,2011-03-04,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{50FEA66F-884E-4451-8C0A-B632C909E72A},0.012348014706416,2.316497142e-6,1
3,2011-03-04,2011-03-04,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{14A62684-F1E7-4B47-A5B8-3BE97FAD8319},0.004952144538275,3.59523868e-7,1
4,2011-03-04,2011-03-04,C1,CVCBD,S02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S02,NA,{D5B92E5A-E8D9-443C-AC16-CFF0619912D5},0.007752132842525,3.235652968e-6,NA
5,2011-03-04,2011-03-04,C1,CVCBD,S02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S02,NA,{B9EDAE32-9328-46AF-90F3-F98871AA792A},0.008148936106286,4.011277104e-6,NA
6,2011-03-04,2011-03-04,C1,CVCBD,S11W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S11W,NA,{56B24ACC-FF07-4082-9363-76C1C2FC9B3E},6.7454585221e-5,3.757e-12,NA
7,2011-03-14,2011-03-14,C1,NA,R1,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-RV,NA,{51A11FD5-50C7-4A66-AC11-8B663CD8BBB2},0.005079417036597,7.3510356e-7,1
8,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{C49A0217-C128-4164-91B5-077BEFDDDD09},0.006410279956885,8.86928315e-7,1
9,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{2FE46E3B-18E5-4812-94D3-19B60460A0F3},0.002155086361071,2.48686134e-7,1
10,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{6EB37B74-67B0-4AB7-A581-F241D89CB805},0.005709817722262,9.19042273e-7,1
11,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{A128E410-0151-45C5-A274-743AD53A97AC},0.006120956827686,1.479507824e-6,1
12,2011-03-15,2011-03-15,C1,NA,R1,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-RV,NA,{0AD6B38C-8470-416E-98AE-86C93E226A3C},0.005844809673989,8.94125951e-7,1
13,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{CE411EAA-5850-4491-BFCB-C21DA87CD961},0.013250639534647,3.584395324e-6,1
14,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{2F956229-3535-42E5-8068-E4EC8723EE56},0.00469437134392,7.17201389e-7,1
15,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{E6ABA279-6021-4EBC-B91F-4115591E4861},0.002097985251874,2.14922001e-7,1
16,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{275AC858-4F69-4F11-88A7-973619EB2BC7},0.004117818160346,9.05104706e-7,1
17,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{468ED2A1-0DDC-42BF-9EAA-9FDFC4ADB6A3},0.010070215367999,2.535107934e-6,1
18,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{01E6E6DA-83B6-4875-8873-7623F3E692E4},0.0089397567234,1.780187553e-6,1
19,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{62B5679F-0E17-4C75-B888-F710C89B948B},0.007589859541759,1.62085273e-6,1
20,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{445C6F60-52B7-4BB7-B176-581B4B165597},0.005626629676307,1.358805207e-6,1
21,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{0B4EFB0B-1D1D-4B3F-BBB3-1F1EBC84B1EF},0.010400636949194,3.16236751e-6,1
22,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{27C46461-983C-41DA-B139-4FF734411BA2},0.005896169787679,1.237250162e-6,1
23,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{5E276305-4039-4108-827E-3AED590AF72B},0.004534909153199,6.07133609e-7,1
24,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{58DD6F4B-D61D-4660-87E5-C0CD4622FAF7},0.028027941175355,6.302120099e-6,1
25,2011-03-25,2011-03-25,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{47C1C16E-3BED-4423-9E8D-416AE270D170},0.014661780194468,9.996886719e-6,1
26,2011-03-25,2011-03-25,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{7659A16D-7BA9-40FF-8962-9DD0243A0EAC},0.007281364950215,2.410313201e-6,1
27,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{C41728B6-0B65-450F-9BEC-1904DE804B4B},0.007726595200741,1.870273334e-6,1
28,2009-07-31,2009-07-31,C1,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,NA,{192597A7-CF93-4EF2-9CD0-5E17F8CAE24A},0.002935863800488,3.92958959e-7,2
29,2009-07-31,2009-07-31,C1,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,NA,{9935D670-CE23-4CE5-B3F0-B514B50502B0},0.002920267716504,3.84848764e-7,2
30,2003-01-01,2008-02-19,C1,NA,PD,NA,NA,NA,NA,NA,SLAP,2065,NA,NA,NA,NA,NA,PD-2065,NA,{15ED5B04-36AD-45E7-A610-25195CA8F914},0.070708445191734,6.8780699541e-5,NA
31,2003-01-01,NA,C1,NA,M1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M1-X,NA,{E7B259A1-8395-4B29-A28E-275066BDB202},0.010495370947457,4.181497406e-6,NA
32,2003-01-01,NA,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{7864FAD1-5945-468C-8AAC-F04399313969},0.031917198203722,2.7906964596e-5,NA
33,2003-01-01,NA,C1,NA,A,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-CA,NA,{0CC0C12D-23F1-4FB6-A20B-ACDA8AD72F88},0.015108231253986,9.732762699e-6,NA
