OVERLAY,ZONE_OVER,Zoning_Tex,Overlay_Te,Zoning_Sta,URL,ZONE_U,URL1,URL2,Shape_Leng,Shape_Area,Orig_zone,Zoning
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (1),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,26146.1029234,22777367.7161,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (2),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,11063.5753996,6468093.81027,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (3),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,8206.18555144,3631479.83946,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (4),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,6055.44599434,1882031.7604,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (5),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,7981.66669786,3490599.68238,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (6),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,4752.4304145,1079728.05881,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (7),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,2476.93696105,254394.081461,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (8),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,1946.62693563,229982.850599,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (9),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,12093.3574077,5769319.6445,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (10),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,1664.66722932,116243.205053,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (11),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,584.231833261,19035.7020377,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (12),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,8111.21941487,2672500.12461,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (13),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,306.542151998,5604.75379546,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (14),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,15646.4179265,8854980.65851,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (15),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,6527.22866056,1970937.17701,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (16),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,1081.07673964,64084.5626686,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (17),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,840.162191726,44045.4422188,A-2,NA
NA,A-2,General Agricultural,NA,5 Acre Minimum Parcel Size,http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-38GEAGDI.html#TOPTITLE,A-2 (18),http://library.municode.com/HTML/16286/level3/TIT8ZO_DIV84LAUSDI_CH84-,38GEAGDI.html,2143.93782895,211897.30013,A-2,NA
