ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
Agriculture Residential Planned,Agriculture Residential Planned 3 Acres,0.333,3,130680,Residential,600,604103.522461,3285.95405432,C-ARP-3,0
Agriculture Residential Planned,Agriculture Residential Planned 3 Acres,0.333,3,130680,Residential,600,505213.097656,5019.41964208,C-ARP-3,0
Agriculture Residential Planned,Agriculture Residential Planned 3 Acres,0.333,3,130680,Residential,600,35791.5214844,1058.74435865,C-ARP-3,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,5609998.64453,17052.5038666,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,2932471.2832,9069.35904005,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,1237460.29004,5978.56314503,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,1115424.06543,4593.83073109,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,569288.478516,3658.97696698,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,305114.711914,2356.37122963,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,122218.00293,1395.42912565,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,71168.4658203,1092.50365,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 5 Acres,0.2,5,217800,Residential,600,41809.5195313,818.413652517,C-ARP-5,0
Agriculture Residential Planned,Agriculture Residential Planned 60 Acres,0.016,60,2613600,Residential,600,2274925.91016,9517.3991106,C-ARP-60,0
Agriculture Residential Planned,Agriculture Residential Planned 60 Acres,0.016,60,2613600,Residential,600,247585.079102,2026.91791309,C-ARP-60,0
Planned Commercial,Planned Commercial,0,0,0,Commercial,300,35770.7265625,848.21602719,C-CP,0
Planned Commercial,Planned Commercial,0,0,0,Commercial,300,32396.1650391,849.243709534,C-CP,0
Planned Commercial,Planned Commercial,0,0,0,Commercial,300,28192.8505859,744.032740928,C-CP,0
Planned Commercial,Planned Commercial,0,0,0,Commercial,300,9309.62695313,453.028741166,C-CP,0
Limited Roadside Business,Limited Roadside Business 7500 Sqft,5.808,0.172,7500,None,300,14975.7021484,540.534132619,C-H1,0
Limited Roadside Business,Limited Roadside Business 7500 Sqft,5.808,0.172,7500,None,300,14503.9335938,520.702446741,C-H1,0
