ACRES,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
265.15972,11550311.3262,21873.8674331,PD,0
150.1118,6538843.65918,10954.6313634,PD,0
12.77715,556570.307617,4129.12013499,MC,0
1470.08935,64036836.0537,39658.1989466,AP,0
4136.24433,180174082.157,129611.676825,AP,0
2.02849,88360.7119141,1376.14991278,CN,0
6.67824,290903.119141,2317.37089302,CN,0
97.35464,4240751.18945,8930.58767854,RC,1
39.64207,1726801.64355,8440.77052854,RS:B-5,1
97.30632,4238646.40137,12282.7882264,PD,0
677.54018,29513573.9707,81630.4691466,RC,1
54.46988,2372698.7041,7559.7427504,RS:B-5,1
7.07275,308087.759766,2395.22746168,CL,0
32.70204,1424495.1748,5434.49171006,CN,0
1.55734,67837.6064453,1129.23782591,CL:AH,0
0.41768,18193.90625,633.228422301,CL,0
1.42052,61877.4414063,992.825636519,CL:AH,0
29.99098,1306401.66113,6498.33852349,RS:B-1,1
2.73274,119037.751953,1441.95301188,CL,0
77.09839,3358392.51953,10737.0139944,PD,0
3.46721,151031.158203,1838.34870979,CL,0
2.23293,97265.875,1417.21973375,CL,0
1.68931,73585.9033203,1168.54911091,CL,0
29.08112,1266768.51758,6043.19912304,RS:B-1,1
65.14924,2837854.09375,10343.4323777,PD,0
106.86091,4654842.68652,25263.3401729,RC,1
78.8572,3434999.85547,18889.8842105,PD,0
25.36439,1104868.38672,7578.28443872,PD,0
1.90946,83175.5664063,1325.60625076,PD,0
6.40956,279199.519531,2293.24914629,PD,0
3.48536,151821.801758,2344.73816216,PD,0
25.35486,1104470.29883,6815.41373197,RC:UR,1
8.09935,352806.466797,2491.70660827,RS:UR,1
38.30186,1668422.13379,6045.31014026,RC,1
2.03223,88523.6025391,1324.81768197,RC:UR,1
10.74519,468058.542969,3468.68524729,RS:UR,1
15.75116,686117.884766,3646.6241294,RS:UR,1
602.41332,26241019.1641,28849.0272375,RC,1
0.86072,37492.6259766,792.017619735,CN,0
0.20012,8717.1640625,381.049214343,RS:UR,1
39.25047,1709743.49121,5773.43435886,RC,1
4.62237,201349.555664,2176.20908126,RS:UR,1
0.55596,24217.3291016,625.078533303,CN:UR,0
0.62911,27404.0859375,691.405353615,CN:UR,0
0.12533,5459.26074219,332.756676545,RS:UR,1
0.21797,9494.625,394.268966387,CN:UR,0
33.42774,1456106.65137,4830.8191609,RS:UR,1
112.44843,4898234.20801,9034.82875749,AW:UR,0
8.00652,348762.720703,3210.46414604,RS:UR,1
3.09604,134862.961914,1499.33019197,RS:UR,1
280.72634,12228390.4434,17089.502532,I,0
568.9207,24782086.7432,24460.7987065,AW:AC,0
125.7455,5477452.15723,19912.2719764,I:AC,0
3.93211,171281.823242,1839.08029457,AW:PS,0
2.35353,102519.416016,1308.85232629,CL,0
11.84037,515764.289063,3169.83543364,CL,0
5.29473,230637.305664,2088.57533148,PD,0
0.60632,26411.0976563,926.97870403700006,PD,0
10.45706,455507.53125,4009.0045933,PD,0
24390.37904,1062440664.4,386784.983218,AP,0
21.18304,922729.623047,4760.34860297,CL,0
14.20297,618678.874023,4471.05637189,AW,0
1.73727,75675.1923828,1140.63425087,CL,0
3.10591,135292.753906,1662.45567078,RC,1
2.10163,91546.8056641,1337.63855779,PD,0
1.67009,72748.8740234,1098.19433177,CN,0
4.32511,188401.068359,1969.0536846,CL,0
20.37467,887517.195313,4028.6897961,AW,0
1.32106,57545.0820313,1081.32678838,RS:B-1,1
3.11937,135879.262695,1645.97867819,CN,0
36.79994,1602999.07617,5114.48908121,RS:B-1,1
2.08807,90955.953125,1553.12863586,CL,0
16.95058,738364.385742,6540.88149297,RS:B-1,1
12.41319,540716.5625,3141.46565329,RS:B-1,1
18.58579,809593.924805,4191.10473674,RS:B-1,1
28.78534,1253884.4082,4588.34733941,PL,0
2.6393,114967.50293,1613.02588631,RS:B-1,1
5.68962,247838.860352,2942.14661729,RS:B-1,1
5.82954,253933.698242,2251.46713173,CL,0
8.94168,389498.040039,3891.7613784,RS:B-1,1
12.15717,529564.296875,3882.97952272,CN,0
