OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
1,AR B6 1,AR,1,3091.03536006,502442.105373,NA
2,AR B6 1,AR,1,2178.65476415,272942.428678,NA
3,AR B6 1,AR,1,1879.29504642,199733.330755,NA
4,AR B6 1,AR,1,1634.63599264,143196.579648,NA
5,AR B6 1,AR,1,1770.77418684,114928.345325,NA
6,AR B6 1,AR,1,1497.47210242,111541.269452,NA
7,AR B6 1,AR,1,1328.31332704,105260.915494,NA
8,AR B6 1,AR,1,1606.37354258,101647.603012,NA
9,AR B6 1,AR,1,1254.15800669,81100.266371,NA
10,AR B6 1,AR,1,896.315856279,44077.7117753,NA
11,AR B6 1,AR,1,781.725211434,31114.0437132,NA
12,AR B6 1,AR,1,411.755395604,8654.13581776,NA
13,AR B6 1.5,AR,1.5,3799.94121682,652663.100921,NA
14,AR B6 1.5,AR,1.5,11241.6265825,3567879.90723,NA
15,AR B6 1.5,AR,1.5,6876.5275006,2102058.34951,NA
16,AR B6 1.5,AR,1.5,7993.28102618,3171792.67791,NA
17,AR B6 1.5,AR,1.5,2986.59764176,264723.944847,NA
18,AR B6 1.5,AR,1.5,2513.39105315,274305.253148,NA
19,AR B6 1.5,AR,1.5,3542.16104877,654414.929223,NA
20,AR B6 1.5,AR,1.5,6277.24974315,1912254.4854,NA
21,AR B6 1.5,AR,1.5,2565.83508755,309636.705293,NA
22,AR B6 1.5,AR,1.5,2850.64844076,389503.473057,NA
23,AR B6 1.5,AR,1.5,7709.03831349,2806820.32709,NA
24,AR B6 1.5,AR,1.5,6129.9082208,1037735.66964,NA
25,AR B6 1.5,AR,1.5,2877.86064309,254971.452019,NA
26,AR B6 1.5,AR,1.5,3047.91879211,369026.638648,NA
27,AR B6 1.5,AR,1.5,4852.32085622,526518.816747,NA
28,AR B6 1.5,AR,1.5,2193.31622697,261608.078189,NA
29,AR B6 1.5,AR,1.5,1789.51983111,193630.125553,NA
30,AR B6 1.5,AR,1.5,3594.41456295,340491.295729,NA
31,AR B6 1.5,AR,1.5,371.731315354,7540.57515879,NA
32,AR B6 1.5,AR,1.5,710.973247654,28645.7372127,NA
33,AR B6 1.5,AR,1.5,2683.01665343,351543.641076,NA
34,AR B6 1.5,AR,1.5,2879.27865696,487171.44651,NA
