gnrl_p_,id,city_nm,SFR_MFR,zoning
113 - Agriculture,0,union city,3 - Agricu,0
113 - Agriculture,1,union city,3 - Agricu,0
113 - Agriculture,2,union city,3 - Agricu,0
113 - Agriculture,3,union city,3 - Agricu,0
113 - Civic Facility,4,union city,Civic Fac,0
113 - Civic Facility,5,union city,Civic Fac,0
113 - Civic Facility,6,union city,Civic Fac,0
113 - Civic Facility,7,union city,Civic Fac,0
113 - Civic Facility,8,union city,Civic Fac,0
113 - Civic Facility,9,union city,Civic Fac,0
113 - Civic Facility,10,union city,Civic Fac,0
113 - Civic Facility,11,union city,Civic Fac,0
113 - Civic Facility,12,union city,Civic Fac,0
113 - Civic Facility,13,union city,Civic Fac,0
113 - Civic Facility,14,union city,Civic Fac,0
113 - Civic Facility,15,union city,Civic Fac,0
113 - General Industry,16,union city,eneral Ind,0
113 - General Industry,17,union city,eneral Ind,0
113 - Light Industry,18,union city,Light Ind,0
113 - Light Industry,19,union city,Light Ind,0
113 - Light Industry,20,union city,Light Ind,0
113 - Light Industry,21,union city,Light Ind,0
113 - Office Commercial,22,union city,fice Comme,0
113 - Office Commercial,23,union city,fice Comme,0
113 - Office Commercial,24,union city,fice Comme,0
113 - Open Space,25,union city,13 - Open,0
113 - Open Space,26,union city,13 - Open,0
113 - Open Space,27,union city,13 - Open,0
113 - Open Space,28,union city,13 - Open,0
113 - Open Space,29,union city,13 - Open,0
113 - Open Space,30,union city,13 - Open,0
113 - Open Space,31,union city,13 - Open,0
113 - Open Space,32,union city,13 - Open,0
113 - Open Space,33,union city,13 - Open,0
113 - Open Space,34,union city,13 - Open,0
113 - Open Space,35,union city,13 - Open,0
113 - Open Space,36,union city,13 - Open,0
113 - Open Space,37,union city,13 - Open,0
113 - Open Space,38,union city,13 - Open,0
113 - Open Space,39,union city,13 - Open,0
113 - Open Space,40,union city,13 - Open,0
113 - Open Space,41,union city,13 - Open,0
113 - Open Space,42,union city,13 - Open,0
113 - Open Space,43,union city,13 - Open,0
113 - Open Space,44,union city,13 - Open,0
113 - Open Space,45,union city,13 - Open,0
113 - Private Institutional,46,union city,e Institut,0
113 - Private Institutional,47,union city,e Institut,0
113 - Private Institutional,48,union city,e Institut,0
113 - Private Institutional,49,union city,e Institut,0
113 - Private Institutional,50,union city,e Institut,0
113 - Private Institutional,51,union city,e Institut,0
113 - Research and Development Campus,52,union city,elopment C,0
113 - Research and Development Campus,53,union city,elopment C,0
113 - Residential (10 to 17 du/acre),54,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),55,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),56,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),57,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),58,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),59,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),60,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),61,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),62,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),63,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),64,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),65,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),66,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),67,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),68,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),69,union city,to 17 du/,2
113 - Residential (10 to 17 du/acre),70,union city,to 17 du/,2
113 - Residential (17 to 29 du/acre),71,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),72,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),73,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),74,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),75,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),76,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),77,union city,to 29 du/,2
113 - Residential (17 to 29 du/acre),78,union city,to 29 du/,2
113 - Residential (3 to 6 du/acre),79,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),80,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),81,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),82,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),83,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),84,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),85,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),86,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),87,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),88,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),89,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),90,union city,3 to 6 du/,1
113 - Residential (3 to 6 du/acre),91,union city,3 to 6 du/,1
113 - Residential (6 to 10 du/acre),92,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),93,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),94,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),95,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),96,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),97,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),98,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),99,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),100,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),101,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),102,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),103,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),104,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),105,union city,to 10 du/,1
113 - Residential (6 to 10 du/acre),106,union city,to 10 du/,1
113 - Retail Commercial,107,union city,tail Comme,0
113 - Retail Commercial,108,union city,tail Comme,0
113 - Retail Commercial,109,union city,tail Comme,0
113 - Retail Commercial,110,union city,tail Comme,0
113 - Retail Commercial,111,union city,tail Comme,0
113 - Retail Commercial,112,union city,tail Comme,0
113 - Retail Commercial,113,union city,tail Comme,0
113 - Retail Commercial,114,union city,tail Comme,0
113 - Retail Commercial,115,union city,tail Comme,0
113 - Retail Commercial,116,union city,tail Comme,0
113 - Retail Commercial,117,union city,tail Comme,0
113 - Retail Commercial,118,union city,tail Comme,0
113 - Retail Commercial,119,union city,tail Comme,0
113 - Retail Commercial,120,union city,tail Comme,0
113 - Retail Commercial,121,union city,tail Comme,0
113 - Special Industry,122,union city,pecial Ind,0
113 - Special Industry,123,union city,pecial Ind,0
113 - Special Industry,124,union city,pecial Ind,0
113 - Station Mixed-Use Commercial,125,union city,-Use Comme,0
113 - Visitor and Thoroughfare Commercial,126,union city,fare Comme,0
