id,gnrl_p_,edt_g__,zoning
0,Residential Low Density,Residential Low Density,1
1,Residential Low Density,Residential Low Density,1
2,Residential Low Density,Residential Low Density,1
3,Public/Institutional,Public/Institutional,0
4,Residential Low Density,Residential Low Density,1
5,Residential Low Med Density,Residential Low Med Density,2
6,Residential Low Med Density,Residential Low Med Density,2
7,Residential Low Density,Residential Low Density,1
8,Hillside Agricultural,Hillside Agricultural,0
9,Hillside Agricultural,Hillside Agricultural,0
10,Hillside Agricultural,Hillside Agricultural,0
11,Public/Institutional,Public/Institutional,0
12,Residential Low Density,Residential Low Density,1
13,Residential Low Density,Residential Low Density,1
14,General Commercial,General Commercial,0
15,Public Park,Public Park,0
16,Residential Medium Density,Residential Medium Density,2
17,Residential Medium Density,Residential Medium Density,2
18,Residential High Density,Residential High Density,2
19,Residential High Density,Residential High Density,2
20,Neighborhood Commercial,Neighborhood Commercial,0
21,Neighborhood Commercial,Neighborhood Commercial,0
22,Residential Low Medium Density,Residential Low Medium Density,2
23,Residential Low Medium Density,Residential Low Medium Density,2
24,Residential Low Density,Residential Low Density,1
25,Residential Low Density,Residential Low Density,1
26,Residential Low Density,Residential Low Density,1
27,Residential Low Density,Residential Low Density,1
28,Residential Low Density,Residential Low Density,1
29,Residential Estate,Residential Estate,1
30,Open Space,Open Space,0
31,Open Space,Open Space,0
32,Open Space,Open Space,0
33,Business Park,Business Park,0
35,Open Space,Open Space,0
36,Residential Rural,Residential Rural,1
37,Open Space,Open Space,0
47,City Limits,City Limits,0
53,Residential High Density,Residential High Density,2
54,Residential Estate,Residential Estate,1
55,Agriculture,Agriculture,0
56,Agriculture,Agriculture,0
57,Agriculture,Agriculture,0
58,Residential Low Density,Residential Low Density,1
59,Residential Low Density,Residential Low Density,1
60,Schools,Schools,0
61,Public Park,Public Park,0
62,Service Commercial,Service Commercial,0
63,Residential High Density,Residential High Density,2
64,Residential Low Density,Residential Low Density,1
65,Open Space,Open Space,0
66,Residential Estate,Residential Estate,1
67,Public/Institutional,Public/Institutional,0
68,Public Park,Public Park,0
70,Residential Estate,Residential Estate,1
71,Open Space,Open Space,0
72,General Commercial,General Commercial,0
73,General Commercial,General Commercial,0
74,Residential High Density,Residential High Density,2
75,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
76,Residential High Density,Residential High Density,2
77,Residential Low Medium Density,Residential Low Medium Density,2
78,Public Park,Public Park,0
79,Open Space,Open Space,0
80,Residential High Density,Residential High Density,2
81,Neighborhood Commercial,Neighborhood Commercial,0
82,Residential High Density,Residential High Density,2
83,Open Space,Open Space,0
84,General Commercial,General Commercial,0
85,Residential High Density,Residential High Density,2
86,Residential Manufactured Home Park,Residential Manufactured Home Park,2
87,Public Park,Public Park,0
88,Public Park,Public Park,0
89,Public Park,Public Park,0
90,NODEV,NODEV,0
92,Residential Low Density,Residential Low Density,1
93,Schools,Schools,0
94,General Commercial,General Commercial,0
96,Public Park,Public Park,0
97,Public Park,Public Park,0
98,Public Park,Public Park,0
99,Open Space,Open Space,0
100,Public Park,Public Park,0
101,Public Park,Public Park,0
102,Public Park,Public Park,0
103,Public Park,Public Park,0
104,Open Space,Open Space,0
105,General Commercial,General Commercial,0
106,Open Space,Open Space,0
107,General Commercial,General Commercial,0
108,General Commercial,General Commercial,0
109,Open Space,Open Space,0
110,Open Space,Open Space,0
111,Residential Low Density,Residential Low Density,1
112,Residential Estate,Residential Estate,1
114,Residential Low Density,Residential Low Density,1
115,Public Park,Public Park,0
116,Open Space,Open Space,0
117,Public/Institutional,Public/Institutional,0
118,Public/Institutional,Public/Institutional,0
120,Public/Institutional,Public/Institutional,0
121,Private Recreation,Private Recreation,0
122,Private Recreation,Private Recreation,0
123,Private Recreation,Private Recreation,0
124,Residential Estate,Residential Estate,1
125,Schools,Schools,0
126,Residential Low Density,Residential Low Density,1
127,Residential Low Density,Residential Low Density,1
128,Residential Low Density,Residential Low Density,1
129,Residential High Density,Residential High Density,2
130,Residential High Density,Residential High Density,2
131,Residential High Density,Residential High Density,2
132,Residential High Density,Residential High Density,2
133,Residential Estate,Residential Estate,1
134,Open Space,Open Space,0
135,Industrial Park,Industrial Park,0
136,Residential Estate,Residential Estate,1
137,Residential Estate,Residential Estate,1
138,Residential Low Medium Density,Residential Low Medium Density,2
139,Industrial Park,Industrial Park,0
140,Residential Low Medium Density,Residential Low Medium Density,2
141,Highway Commercial,Highway Commercial,0
142,Residential Rural,Residential Rural,1
144,Public/Institutional,Public/Institutional,0
145,Residential Low Density,Residential Low Density,1
146,Open Space,Open Space,0
147,Highway Commercial,Highway Commercial,0
148,Industrial Park,Industrial Park,0
149,Industrial Park,Industrial Park,0
150,Industrial Park,Industrial Park,0
151,Public/Institutional,Public/Institutional,0
152,Industrial Park,Industrial Park,0
153,Industrial Park,Industrial Park,0
154,Industrial Park,Industrial Park,0
155,Industrial Park,Industrial Park,0
156,Residential Low Density,Residential Low Density,1
157,Residential Low Medium Density,Residential Low Medium Density,2
158,Industrial Park,Industrial Park,0
159,Industrial Park,Industrial Park,0
160,Business Park,Business Park,0
161,General Commercial,General Commercial,0
162,General Commercial,General Commercial,0
163,General Commercial,General Commercial,0
164,Residential High Density,Residential High Density,2
165,Open Space,Open Space,0
166,Open Space,Open Space,0
167,Residential High Density,Residential High Density,2
168,Residential Low Density,Residential Low Density,1
169,General Commercial,General Commercial,0
171,Public Park,Public Park,0
172,Residential Low Medium Density,Residential Low Medium Density,2
173,Residential Low Medium Density,Residential Low Medium Density,2
174,Residential Low Density,Residential Low Density,1
175,Residential Low Density,Residential Low Density,1
176,Residential Low Density,Residential Low Density,1
177,Residential Low Density,Residential Low Density,1
178,Residential High Density,Residential High Density,2
179,Residential High Density,Residential High Density,2
180,Public Park,Public Park,0
181,Residential High Density,Residential High Density,2
182,Public Park,Public Park,0
183,Residential High Density,Residential High Density,2
184,General Commercial,General Commercial,0
185,General Commercial,General Commercial,0
186,Residential High Density,Residential High Density,2
187,Residential Low Density,Residential Low Density,1
188,Open Space,Open Space,0
190,Residential Estate,Residential Estate,1
191,Residential Estate,Residential Estate,1
192,Hillside Agriculture,Hillside Agriculture,0
193,Residential Rural,Residential Rural,1
194,Residential Estate,Residential Estate,1
195,Residential Estate,Residential Estate,1
196,Residential High Density,Residential High Density,2
197,Residential Low Density,Residential Low Density,1
198,General Commercial,General Commercial,0
199,Residential Low Density,Residential Low Density,1
200,Residential High Density,Residential High Density,2
201,Residential Low Density,Residential Low Density,1
202,Residential Estate,Residential Estate,1
203,Residential High Density,Residential High Density,2
204,Residential Low Density,Residential Low Density,1
205,Residential Estate,Residential Estate,1
206,Residential Low Density,Residential Low Density,1
207,Residential Estate,Residential Estate,1
208,Residential Low Density,Residential Low Density,1
209,Residential Low Density,Residential Low Density,1
210,Residential Low Density,Residential Low Density,1
211,Residential High Density,Residential High Density,2
212,Residential High Density,Residential High Density,2
213,Residential Low Density,Residential Low Density,1
214,Residential High Density,Residential High Density,2
215,Residential High Density,Residential High Density,2
216,Commercial Offices,Commercial Offices,0
217,Commercial Offices,Commercial Offices,0
218,Public/Institutional,Public/Institutional,0
219,Residential Low Density,Residential Low Density,1
220,Residential Low Density,Residential Low Density,1
221,General Commercial,General Commercial,0
222,Residential Low Density,Residential Low Density,1
223,General Commercial,General Commercial,0
224,Residential Low Density,Residential Low Density,1
225,Commercial Offices,Commercial Offices,0
226,Residential High Density,Residential High Density,2
227,Residential High Density,Residential High Density,2
228,Residential Low Density,Residential Low Density,1
229,Commercial Offices,Commercial Offices,0
230,Residential Urban High Density,Residential Urban High Density,2
231,General Commercial,General Commercial,0
232,General Commercial,General Commercial,0
233,Residential Urban High Density,Residential Urban High Density,2
234,General Commercial,General Commercial,0
235,Residential High Density,Residential High Density,2
236,General Commercial,General Commercial,0
237,General Commercial,General Commercial,0
238,General Commercial,General Commercial,0
239,General Commercial,General Commercial,0
240,General Commercial,General Commercial,0
241,Residential High Density,Residential High Density,2
242,General Commercial,General Commercial,0
243,General Commercial,General Commercial,0
244,Service Commercial,Service Commercial,0
245,Residential Low Density,Residential Low Density,1
246,General Commercial,General Commercial,0
247,Residential Urban High Density,Residential Urban High Density,2
248,Public Park,Public Park,0
249,General Commercial,General Commercial,0
250,General Commercial,General Commercial,0
251,General Commercial,General Commercial,0
252,Residential High Density,Residential High Density,2
253,Residential High Density,Residential High Density,2
254,Residential High Density,Residential High Density,2
255,Residential Estate,Residential Estate,1
256,Residential High Density,Residential High Density,2
257,Residential Low Density,Residential Low Density,1
258,Residential Estate,Residential Estate,1
259,Residential Low Density,Residential Low Density,1
260,Residential Low Density,Residential Low Density,1
261,Residential Low Medium Density,Residential Low Medium Density,2
262,Neighborhood Commercial,Neighborhood Commercial,0
263,Residential Medium Density,Residential Medium Density,2
264,Residential Low Density,Residential Low Density,1
265,Residential High Density,Residential High Density,2
266,Residential Medium Density,Residential Medium Density,2
267,Residential Low Density,Residential Low Density,1
268,Residential Low Density,Residential Low Density,1
269,Residential Low Density,Residential Low Density,1
270,Residential Low Density,Residential Low Density,1
271,Residential Estate,Residential Estate,1
272,Residential Estate,Residential Estate,1
273,Residential Low Density,Residential Low Density,1
274,Public Park,Public Park,0
275,Residential Low Density,Residential Low Density,1
276,Residential Low Density,Residential Low Density,1
277,Residential Low Density,Residential Low Density,1
278,Residential Estate,Residential Estate,1
279,Residential Low Density,Residential Low Density,1
280,Residential Low Density,Residential Low Density,1
281,Residential Estate,Residential Estate,1
282,Residential Low Density,Residential Low Density,1
283,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
284,Residential High Density,Residential High Density,2
285,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
286,Residential Low Density,Residential Low Density,1
287,Residential High Density,Residential High Density,2
288,Residential Low Density,Residential Low Density,1
289,General Commercial,General Commercial,0
290,Residential Low Density,Residential Low Density,1
291,General Commercial,General Commercial,0
292,General Commercial,General Commercial,0
293,General Commercial,General Commercial,0
294,Residential High Density,Residential High Density,2
295,Residential High Density,Residential High Density,2
296,Residential Low Density,Residential Low Density,1
297,Residential Low Density,Residential Low Density,1
298,Residential Low Density,Residential Low Density,1
299,Residential High Density,Residential High Density,2
300,Public/Institutional,Public/Institutional,0
301,Residential Medium Density,Residential Medium Density,2
302,Residential Low Density,Residential Low Density,1
303,Open Space,Open Space,0
304,Public Park,Public Park,0
305,Residential Low Medium Density,Residential Low Medium Density,2
306,Schools,Schools,0
307,Public Park,Public Park,0
308,Open Space,Open Space,0
309,Business Park,Business Park,0
310,Open Space,Open Space,0
311,Residential Low Density,Residential Low Density,1
312,Residential Low Density,Residential Low Density,1
313,Residential Low Density,Residential Low Density,1
314,Open Space,Open Space,0
315,Business Park,Business Park,0
316,Open Space,Open Space,0
317,Residential Rural,Residential Rural,1
318,Public Park,Public Park,0
319,Service Commercial,Service Commercial,0
320,Public/Institutional,Public/Institutional,0
321,Residential High Density,Residential High Density,2
322,Residential Low Density,Residential Low Density,1
323,Residential High Density,Residential High Density,2
324,Public Park,Public Park,0
325,Residential Low Density,Residential Low Density,1
326,Open Space,Open Space,0
327,General Commercial,General Commercial,0
328,Open Space,Open Space,0
329,Open Space,Open Space,0
330,Schools,Schools,0
331,Public Park,Public Park,0
332,Public Park,Public Park,0
333,Commercial Offices,Commercial Offices,0
334,Commercial Offices,Commercial Offices,0
335,Residential High Density,Residential High Density,2
336,Neighborhood Commercial,Neighborhood Commercial,0
337,Public Park,Public Park,0
338,General Commercial,General Commercial,0
339,General Commercial,General Commercial,0
340,General Commercial,General Commercial,0
341,Schools,Schools,0
342,Schools,Schools,0
343,Open Space,Open Space,0
344,Residential Medium Density,Residential Medium Density,2
345,Residential Medium Density,Residential Medium Density,2
346,Residential Manufactured Home Park,Residential Manufactured Home Park,2
347,General Commercial,General Commercial,0
348,Public/Institutional,Public/Institutional,0
349,Schools,Schools,0
350,Public Park,Public Park,0
351,Schools,Schools,0
352,Public Park,Public Park,0
353,Schools,Schools,0
354,Public/Institutional,Public/Institutional,0
355,Business Park,Business Park,0
356,Public/Institutional,Public/Institutional,0
357,General Commercial,General Commercial,0
358,General Commercial,General Commercial,0
359,Residential Medium Density,Residential Medium Density,2
360,General Commercial,General Commercial,0
361,Residential High Density,Residential High Density,2
362,Residential Low Medium Density,Residential Low Medium Density,2
363,Schools,Schools,0
364,Highway Commercial,Highway Commercial,0
365,Business Park,Business Park,0
366,Business Park,Business Park,0
367,Open Space,Open Space,0
368,Highway Commercial,Highway Commercial,0
369,Private Recreation,Private Recreation,0
371,Highway Commercial,Highway Commercial,0
372,Highway Commercial,Highway Commercial,0
373,General Commercial,General Commercial,0
