id,LAYER,COLOR,LABEL,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
1,EX_ZONE_PF,1,PF,Public Facilities,ff6a4e34-ae75-47ca-9c10-399384dc8e5a,66398.5859375,1102.34925523,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
2,EX_ZONE_PF,1,PF,Public Facilities,62a47658-146d-4767-a401-37521aa7496c,26810.3007813,690.954640377737,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
3,EX_ZONE_PF,1,PF,Public Facilities,050a63c4-0421-4fec-b633-e9ed459f7084,22175.3632813,645.055760319138,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
4,EX_ZONE_PF,1,PF,Public Facilities,d11c9d32-0af9-4cd3-bdfe-7074d0a3ed44,95344.5703125,3669.03610688,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
5,EX_ZONE_PF,1,PF,Public Facilities,8b7db4a2-c4bb-45a8-ada0-ea6590fd624d,3625.84375,347.259607375748,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
6,EX_ZONE_PF,1,PF,Public Facilities,1ead27cd-83e6-440e-90bf-5d2e6f0cde72,66110.4257813,1064.34438848,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
7,EX_ZONE_LDR,2,LDR,Low Density Residential,2bcc887d-2130-414d-9561-37bae39dceda,963022.074219,5175.95398829,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
8,EX_ZONE_PF,1,PF,Public Facilities,76b5e3fb-93c2-448a-bedd-67c2a7601638,25636.3671875,720.522092581136,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
9,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,50c3f42a-7e51-4d47-a8e0-61bbfeab928e,498175.621094,3728.61150256,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
11,EX_ZONE_LDR,2,LDR,Low Density Residential,1664072a-0abb-4138-bfe3-40972e8881e8,3747002.66406,16872.9944987,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
12,EX_ZONE_PF,1,PF,Public Facilities,5920e806-7bee-40c1-8130-8ed4c6998e55,418888.027344,3092.71539755,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
13,EX_ZONE_PF,1,PF,Public Facilities,d4481984-c215-4fed-b899-e48cb8a50528,5777.109375,337.062131090009,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
14,EX_ZONE_PF,1,PF,Public Facilities,5f6d405b-c3c8-4515-b409-e33b61811f62,4387.7421875,303.426771618015,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
15,EX_ZONE_MDR,41,MDR,Medium Density Residential,9dd398a7-26f7-4fc8-8414-b2e80aa0299a,280323.769531,2283.38725064,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
16,EX_ZONE_HDR,5,HDR,High Density Residential,4d528078-e024-4746-931f-55cb1ed02ca4,226971.238281,2021.75083404,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
17,EX_ZONE_IU,4,IU,Intensive Use,ca4497ee-b1ca-43be-b384-ded212023708,378090.464844,4851.62067956,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
980,EX_ZONE_MUPD,3,MUPD,Mixed Use Planned Development_MF,a98d3bd6-d866-455d-a8be-ffa41b5b046f,272405.945313,3104.817425,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Mixed Use Planned Development_MF,2
19,EX_ZONE_RC,5,RC,Resource Conservation,3ad07333-b7bd-49a7-bfc1-dc1391122742,414986.238281,3805.61322729,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Resource Conservation,0
20,EX_ZONE_MUPD,3,MUPD,Mixed Use Planned Development,b99d9ba7-6c79-473b-b638-0e0b83043ef8,69633.5664063,2211.93137409,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Mixed Use Planned Development,0
21,EX_ZONE_PDR,5,PDR,Planned Development Residential,8af7c0e4-0775-422c-a80e-69067ad80c07,80351.8242188,1257.25264326,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Planned Development Residential,2
22,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,88b44650-7dbd-403e-983d-bcc3398ea6a9,190550.84375,1710.60093135,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
23,EX_ZONE_LDR,2,LDR,Low Density Residential,1844bca5-3d0e-4de4-bedd-3c7de9c5c083,92443.7421875,2111.26862642,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
24,EX_ZONE_LDR,2,LDR,Low Density Residential,1bebc0dc-3c12-401f-90d8-67a445672565,715928.414063,4835.6238465,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
25,EX_ZONE_PF,1,PF,Public Facilities,e5b5cccd-b913-4ed2-8638-bd5aba69af62,506443.667969,3296.01322789,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
