APN,LevelNm,GP,gnrl_p_,ASMT,Shp_Lng,Shap_Ar,Acres,id,edt_g__,zoning
066-365-015,1,VLDR,SR,066365015,391.041923653,8496.17969782,0.19504544761,1,SR,1
164-020-013,1,LDR,VR,164020013,369.983255749,7499.21727939,0.17215833975,2,VR,1
164-340-038,1,VLDR,PD_VntgGrn,164340038,319.800405636,5999.65976826,0.13773323619,3,PD_VntgGrn,1
164-350-008,1,VLDR,SR,164350008,2622.16783399,213669.020693,4.9051657643,4,SR,1
164-380-039,1,VLDR,PD_VntgGrn,164380039,303.774076829,5518.28342497,0.12668235594,5,PD_VntgGrn,1
164-380-050,1,VLDR,PD_VntgGrn,164380050,319.823605564,6000.84163451,0.1377603681,6,PD_VntgGrn,1
066-030-067,1,VLDR,SR,066030067,367.143952202,7960.30350956,0.18274342308,7,SR,1
066-400-018,1,VLDR,SR,066400018,680.011190407,22501.3003873,0.51655877841,8,SR,1
164-340-040,1,VLDR,PD_VntgGrn,164340040,337.860011281,6900.23292584,0.1584075511,9,PD_VntgGrn,1
164-380-043,1,VLDR,PD_VntgGrn,164380043,319.814190155,6000.4541053,0.13775147166,10,PD_VntgGrn,1
164-340-027,1,VLDR,PD_VntgGrn,164340027,319.785426979,5999.69792135,0.13773411206,11,PD_VntgGrn,1
164-340-014,1,VLDR,PD_VntgGrn,164340014,405.030566488,10655.8846346,0.24462545075,12,PD_VntgGrn,1
066-361-002,1,VLDR,SR,066361002,384.811920221,7934.96810903,0.18216180232,13,SR,1
164-360-056,1,VLDR,PD_VntgGrn,164360056,422.871869869,9930.07567562,0.22796316978,14,PD_VntgGrn,1
164-380-005,1,VLDR,PD_VntgGrn,164380005,329.831272108,6500.43405099,0.14922943184,15,PD_VntgGrn,1
164-380-038,1,VLDR,PD_VntgGrn,164380038,319.947634819,6212.22259173,0.14261300716,16,PD_VntgGrn,1
164-380-004,1,VLDR,PD_VntgGrn,164380004,327.981187515,6650.70229736,0.1526791161,17,PD_VntgGrn,1
164-360-005,1,VLDR,PD_VntgGrn,164360005,371.881714601,7766.98885407,0.17830552925,18,PD_VntgGrn,1
164-340-047,1,VLDR,PD_VntgGrn,164340047,319.779588476,5999.10035012,0.13772039371,19,PD_VntgGrn,1
164-340-026,1,VLDR,PD_VntgGrn,164340026,319.775602733,5999.11293355,0.13772068259,20,PD_VntgGrn,1
066-450-005,1,VLDR,SR,066450005,605.660393239,18344.2312412,0.42112560241,21,SR,1
164-380-007,1,VLDR,PD_VntgGrn,164380007,319.788821526,6000.02196707,0.13774155113,22,PD_VntgGrn,1
164-360-053,1,VLDR,PD_VntgGrn,164360053,377.136476887,8349.82876913,0.19168569259,23,PD_VntgGrn,1
066-380-020,1,VLDR,SR,066380020,326.508597182,6215.66325493,0.14269199392,24,SR,1
164-340-036,1,VLDR,PD_VntgGrn,164340036,319.824086294,6000.85607617,0.13776069964,25,PD_VntgGrn,1
164-350-001,1,NC,NC,164350001,1782.99105414,164793.207274,3.78313148012,26,NC,0
164-340-018,1,VLDR,PD_VntgGrn,164340018,319.790229982,5999.27270187,0.13772435036,27,PD_VntgGrn,1
164-380-028,1,VLDR,PD_VntgGrn,164380028,319.828745589,6001.08918833,0.13776605116,28,PD_VntgGrn,1
164-020-014,1,LDR,VR,164020014,370.019075416,7500.80994167,0.17219490224,29,VR,1
164-380-026,1,VLDR,PD_VntgGrn,164380026,319.819225661,6000.80270395,0.13775947438,30,PD_VntgGrn,1
164-340-072,1,VLDR,PD_VntgGrn,164340072,319.794713039,5999.57475523,0.13773128455,31,PD_VntgGrn,1
164-360-004,1,VLDR,PD_VntgGrn,164360004,416.026489249,9024.21057814,0.20716736864,32,PD_VntgGrn,1
161-340-002,1,ER,ER,161340002,596.114639815,21801.8375016,0.50050132006,33,ER,1
164-020-024,1,LDR,VR,164020024,430.765053874,11284.6914201,0.25906086823,34,VR,1
066-365-017,1,VLDR,SR,066365017,390.985467082,8491.9698302,0.19494880235,35,SR,1
164-340-042,1,VLDR,PD_VntgGrn,164340042,319.78999703,5999.20502133,0.13772279663,36,PD_VntgGrn,1
164-340-021,1,VLDR,PD_VntgGrn,164340021,319.800406098,6000.07749954,0.13774282598,37,PD_VntgGrn,1
164-340-023,1,VLDR,PD_VntgGrn,164340023,319.749894926,5998.0403161,0.13769605868,38,PD_VntgGrn,1
164-020-036,1,RC,CC,164020036,1228.79908035,66439.0282604,1.52523021718,39,CC,0
164-360-055,1,VLDR,PD_VntgGrn,164360055,374.389050369,8360.25586311,0.19192506573,40,PD_VntgGrn,1
066-365-014,1,VLDR,SR,066365014,391.041723029,8495.87945812,0.19503855505,41,SR,1
066-341-005,1,VLDR,SR,066341005,391.273814025,8799.21764315,0.20200224158,42,SR,1
164-340-084,1,VLDR,PD_VntgGrn,164340084,327.933079315,6648.60808799,0.15263103967,43,PD_VntgGrn,1
164-360-003,1,VLDR,PD_VntgGrn,164360003,480.65868756,11228.7763239,0.25777723425,44,PD_VntgGrn,1
164-020-008,1,HDR,CR,164020008,1199.98585893,89997.064803,2.06604831963,45,CR,2
066-420-020,1,VLDR,SR,066420020,568.111982375,20057.9153734,0.4604663768,46,SR,1
161-340-004,1,ER,ER,161340004,660.526701218,22880.1716132,0.52525646495,47,ER,1
066-530-007,1,ER,ER,066530007,945.873294624,27336.8762063,0.62756832429,48,ER,1
164-360-009,1,VLDR,PD_VntgGrn,164360009,347.913397657,6841.40331795,0.15705700914,49,PD_VntgGrn,1
161-340-005,1,ER,ER,161340005,614.505994543,20532.0210111,0.47135034461,50,ER,1
164-380-034,1,VLDR,PD_VntgGrn,164380034,303.779202364,5518.26810665,0.12668200429,51,PD_VntgGrn,1
164-360-013,1,VLDR,PD_VntgGrn,164360013,367.846768809,7976.32147958,0.18311114508,52,PD_VntgGrn,1
164-380-037,1,VLDR,PD_VntgGrn,164380037,321.819521163,6060.75313625,0.13913574693,53,PD_VntgGrn,1
164-020-016,1,LDR,VR,164020016,369.988045821,7499.36518717,0.17216173524,54,VR,1
066-365-002,1,VLDR,SR,066365002,373.21473769200003,7607.31647474,0.1746399558,55,SR,1
164-380-066,1,OS,OS,164380066,1714.09458212,54372.0219906,1.24820987123,56,OS,0
164-340-015,1,VLDR,PD_VntgGrn,164340015,319.784624114,5999.20980651,0.13772290649,57,PD_VntgGrn,1
164-380-025,1,VLDR,PD_VntgGrn,164380025,319.804494086,6000.17186685,0.13774499235,58,PD_VntgGrn,1
066-363-012,1,VLDR,SR,066363012,388.150297222,8270.50661466,0.18986470649,59,SR,1
164-020-025,1,LDR,VR,164020025,380.851140167,8153.24995845,0.18717286406,60,VR,1
066-590-011,1,MDR,MDR,066590011,350.393999632,7728.18591706,0.17741473639,61,MDR,2
161-310-001,1,VLDR,SR,161310001,333.747010487,5857.79957592,0.13447657429,62,SR,1
164-340-071,1,VLDR,PD_VntgGrn,164340071,319.784392886,5999.65410359,0.13773310614,63,PD_VntgGrn,1
066-365-004,1,VLDR,SR,066365004,367.672090267,7051.44446396,0.16187889036,64,SR,1
161-340-007,1,ER,ER,161340007,534.1579777,16619.5617832,0.38153263965,65,ER,1
066-365-016,1,VLDR,SR,066365016,391.051107604,8497.08901652,0.19506632269,66,SR,1
164-360-042,1,VLDR,PD_VntgGrn,164360042,327.987706218,6229.68479878,0.14301388427,67,PD_VntgGrn,1
066-420-051,1,VLDR,SR,066420051,376.487420912,7697.67405115,0.17671428033,68,SR,1
164-380-006,1,VLDR,PD_VntgGrn,164380006,327.956225545,6649.28644974,0.15264661271,69,PD_VntgGrn,1
066-070-006,1,RC,CC,066070006,1039.15393968,44340.4836103,1.01791743825,70,CC__MF,2
066-365-003,1,VLDR,SR,066365003,370.623721719,7529.29817049,0.17284890199,71,SR,1
161-340-006,1,ER,ER,161340006,576.315770103,18723.7473445,0.42983809331,72,ER,1
066-364-009,1,VLDR,SR,066364009,339.288870283,6698.67216591,0.15378035275,73,SR,1
161-050-035,1,SC,SC,161050035,812.938780108,36166.2907954,0.83026379236,74,SC,0
066-363-006,1,VLDR,SR,066363006,388.129747187,8269.26667071,0.18983624129,75,SR,1
161-340-010,1,ER,ER,161340010,489.352098869,14449.3828768,0.33171218725,76,ER,1
164-380-046,1,VLDR,PD_VntgGrn,164380046,319.819473074,6000.82140604,0.13775990372,77,PD_VntgGrn,1
164-380-023,1,VLDR,PD_VntgGrn,164380023,319.819137698,6000.80939001,0.13775962787,78,PD_VntgGrn,1
066-364-003,1,VLDR,SR,066364003,337.133230873,6637.23406159,0.15236992795,79,SR,1
066-363-015,1,VLDR,SR,066363015,388.150497627,8270.34977636,0.18986110598,80,SR,1
164-360-035,1,VLDR,PD_VntgGrn,164360035,332.102915108,6301.79448138,0.1446692948,81,PD_VntgGrn,1
066-363-018,1,VLDR,SR,066363018,388.13990911,8269.8337486,0.18984925961,82,SR,1
066-344-010,1,VLDR,SR,066344010,394.645938195,9224.52640037,0.21176598715,83,SR,1
164-360-054,1,VLDR,PD_VntgGrn,164360054,374.81058487,8220.62330782,0.18871954334,84,PD_VntgGrn,1
066-400-020,1,VLDR,SR,066400020,630.361940304,19961.7402469,0.4582584997,85,SR,1
161-110-013,1,ER,ER,161110013,466.131373507,10001.7387824,0.22960832834,86,ER,1
161-300-025,1,VLDR,SR,161300025,337.638113531,5729.59267622,0.13153334886,87,SR,1
066-560-001,1,ER,ER,066560001,547.403220848,18758.3127295,0.43063160536,88,ER,1
164-340-039,1,VLDR,PD_VntgGrn,164340039,319.82967533,6000.83252897,0.13776015907,89,PD_VntgGrn,1
066-344-003,1,VLDR,SR,066344003,397.678327877,9341.64350778,0.21445462598,90,SR,1
161-340-011,1,ER,ER,161340011,490.603990039,14516.8695843,0.33326146888,91,ER,1
066-363-009,1,VLDR,SR,066363009,388.145277071,8270.3446183,0.18986098756,92,SR,1
164-360-036,1,VLDR,PD_VntgGrn,164360036,320.483607894,5514.06725405,0.12658556598,93,PD_VntgGrn,1
161-310-002,1,VLDR,SR,161310002,335.024379892,5864.53032904,0.13463109112,94,SR,1
164-360-046,1,VLDR,PD_VntgGrn,164360046,354.339280614,7032.15170432,0.16143598954,95,PD_VntgGrn,1
161-310-004,1,VLDR,SR,161310004,338.949913438,5964.00968568,0.1369148229,96,SR,1
161-050-029,1,SC,SC,161050029,394.345993706,8932.76744198,0.20506812309,97,SC,0
161-340-003,1,ER,ER,161340003,710.156625883,25326.3361981,0.58141267672,98,ER,1
066-590-007,1,MDR,MDR,066590007,341.00032743,7048.92438042,0.1618210372,99,MDR,2
164-360-037,1,VLDR,PD_VntgGrn,164360037,320.488956155,5514.27695451,0.12659038004,100,PD_VntgGrn,1
164-360-006,1,VLDR,PD_VntgGrn,164360006,369.71348275,8034.19199463,0.1844396693,101,PD_VntgGrn,1
161-310-003,1,VLDR,SR,161310003,337.398810538,5929.30008546,0.13611800012,102,SR,1
066-344-001,1,VLDR,SR,066344001,395.635824138,9262.64541203,0.21264107925,103,SR,1
066-364-004,1,VLDR,SR,066364004,337.503632252,6648.94935745,0.15263887414,104,SR,1
066-450-013,1,VLDR,SR,066450013,319.436428085,5976.6330466,0.1372046154,105,SR,1
066-344-007,1,VLDR,SR,066344007,391.685987389,9111.82199404,0.20917865,106,SR,1
161-050-034,1,SC,SC,161050034,825.866270538,39523.7894955,0.90734135665,107,SC,0
164-360-001,1,VLDR,PD_VntgGrn,164360001,412.072170359,10256.4986808,0.23545681085,108,PD_VntgGrn,1
162-090-068,1,VLDR,SR,162090068,271.799001069,4279.8446204,0.09825171305,109,SR,1
162-090-052,1,VLDR,SR,162090052,280.407993662,4509.61119259,0.10352642774,110,SR,1
162-090-055,1,VLDR,SR,162090055,279.389387248,4482.42269178,0.10290226565,111,SR,1
066-590-008,1,MDR,MDR,066590008,326.670524823,6567.00013707,0.1507575789,112,MDR,2
066-400-007,1,OS,OS,066400007,761.99310013,22927.339045,0.52633928019,113,OS,0
161-110-005,1,ER,ER,161110005,494.507771872,14696.4837367,0.33738484244,114,ER,1
161-110-009,1,ER,ER,161110009,502.344216476,14407.7244197,0.33075584067,115,ER,1
066-361-001,1,VLDR,SR,066361001,330.59050744,6389.13490955,0.14667435513,116,SR,1
164-380-035,1,VLDR,PD_VntgGrn,164380035,303.764805122,5517.68196931,0.12666854842,117,PD_VntgGrn,1
164-340-044,1,VLDR,PD_VntgGrn,164340044,319.795033618,5999.47242603,0.1377289354,118,PD_VntgGrn,1
066-030-035,1,ER,ER,066030035,779.301012336,34554.883171,0.79327096352,119,ER,1
066-060-004,1,MDR,MDR,066060004,1599.78644089,158796.264686,3.64546062182,120,MDR,2
066-363-004,1,VLDR,SR,066363004,388.139588046,8270.24271168,0.18985864811,121,SR,1
066-030-037,1,ER,ER,066030037,773.472542186,34346.2451982,0.78848129472,122,ER,1
161-050-070,1,SC,SC,161050070,570.277651161,13580.3099326,0.31176101774,123,SC,0
162-090-024,1,VLDR,SR,162090024,300.928130275,5086.52224318,0.11677048309,124,SR,1
066-550-025,1,LDR,VR,066550025,409.735380428,8150.30134106,0.18710517312,125,VR,1
164-360-039,1,VLDR,PD_VntgGrn,164360039,320.488959114,5513.77865795,0.12657894072,126,PD_VntgGrn,1
162-100-075,1,VLDR,SR,162100075,314.212711046,5985.00938911,0.13739690976,127,SR,1
066-362-002,1,VLDR,SR,066362002,392.177435289,8969.72005417,0.20591643834,128,SR,1
161-490-020,1,VLDR,SR,161490020,164.557947135,1273.31677618,0.02923133095,129,SR,1
066-400-011,1,VLDR,SR,066400011,642.2373054,21974.1250733,0.50445649847,130,SR,1
162-090-051,1,VLDR,SR,162090051,275.008544289,4536.30486621,0.10413923017,131,SR,1
161-170-040,1,OS,ER,161170040,1232.28731696,26912.8735157,0.61783456188,132,ER,1
162-100-061,1,VLDR,SR,162100061,325.461568529,6309.55491468,0.14484744983,133,SR,1
164-340-033,1,VLDR,PD_VntgGrn,164340033,319.79503275,5999.49575233,0.1377294709,134,PD_VntgGrn,1
164-380-032,1,VLDR,PD_VntgGrn,164380032,319.819137402,6000.70969765,0.13775733925,135,PD_VntgGrn,1
162-090-014,1,VLDR,SR,162090014,281.713396395,4504.78147445,0.10341555267,136,SR,1
162-100-006,1,VLDR,SR,162100006,319.941307939,6266.45276427,0.14385796061,137,SR,1
066-364-005,1,VLDR,SR,066364005,337.884117753,6660.36103243,0.15290085015,138,SR,1
066-363-017,1,VLDR,SR,066363017,388.139722605,8269.99148297,0.18985288069,139,SR,1
066-400-010,1,VLDR,SR,066400010,691.960247643,20622.132612,0.47341902231,140,SR,1
164-360-002,1,VLDR,PD_VntgGrn,164360002,378.333545838,8115.98335634,0.18631734059,141,PD_VntgGrn,1
161-490-019,1,VLDR,SR,161490019,476.672005105,4202.48501412,0.09647578086,142,SR,1
066-030-066,1,VLDR,SR,066030066,349.655594803,6988.99916852,0.16044534363,143,SR,1
162-090-026,1,VLDR,SR,162090026,299.76811858,4982.51150544,0.1143827251,144,SR,1
066-363-013,1,VLDR,SR,066363013,388.124926815,8269.01284984,0.18983041437,145,SR,1
162-090-019,1,VLDR,SR,162090019,294.462096347,4912.31392371,0.11277121037,146,SR,1
162-090-057,1,VLDR,SR,162090057,280.516889283,4537.89845108,0.10417581385000001,147,SR,1
162-100-005,1,VLDR,SR,162100005,325.4547941,6488.25308813,0.14894979541,148,SR,1
066-060-050,1,LDR,VR,066060050,1184.67952873,68323.5379837,1.56849260752,149,VR,1
162-090-046,1,VLDR,SR,162090046,285.764608911,5094.64070356,0.11695685729,150,SR,1
162-090-039,1,VLDR,SR,162090039,289.745747225,4781.21082217,0.10976149729,151,SR,1
162-090-065,1,VLDR,SR,162090065,276.059442819,4403.47648646,0.10108991016,152,SR,1
066-100-002,1,HDR,CR,066100002,898.333554586,42770.5730518,0.98187725096,153,CR,2
162-090-045,1,VLDR,SR,162090045,286.071638074,5093.90004314,0.11693985407,154,SR,1
162-100-038,1,VLDR,SR,162100038,378.324350946,7884.96308379,0.1810138449,155,SR,1
162-090-043,1,VLDR,SR,162090043,280.007838788,4503.11924382,0.10337739311,156,SR,1
164-380-048,1,VLDR,PD_VntgGrn,164380048,319.828177053,6000.87711696,0.13776118267,157,PD_VntgGrn,1
162-090-031,1,VLDR,SR,162090031,301.886573189,5059.28614234,0.11614522824,158,SR,1
162-100-003,1,VLDR,SR,162100003,341.925756806,6691.87866763,0.15362439549,159,SR,1
162-100-073,1,VLDR,SR,162100073,416.459726795,8250.01973847,0.18939439253,160,SR,1
066-060-007,1,LDR,VR,066060007,1158.53154127,79037.8169075,1.81445860669,161,VR,1
162-090-060,1,VLDR,SR,162090060,280.017525587,4504.06035307,0.103398998,162,SR,1
162-090-062,1,VLDR,SR,162090062,276.751947833,4371.98055136,0.10036686298,163,SR,1
162-090-059,1,VLDR,SR,162090059,280.712120842,4530.71468826,0.10401089734,164,SR,1
162-090-025,1,VLDR,SR,162090025,300.628793395,5026.40495949,0.11539038015,165,SR,1
161-110-012,1,ER,ER,161110012,396.432901278,8778.34512578,0.20152307451,166,ER,1
066-361-007,1,VLDR,SR,066361007,336.276385476,6712.74017761,0.15410330986,167,SR,1
162-090-040,1,VLDR,SR,162090040,279.120507451,4834.66409504,0.11098861559,168,SR,1
164-340-037,1,VLDR,PD_VntgGrn,164340037,319.804873098,5999.89139571,0.13773855362,169,PD_VntgGrn,1
066-361-005,1,VLDR,SR,066361005,427.580897973,9685.64449874,0.22235180208,170,SR,1
066-344-006,1,VLDR,SR,066344006,390.625417908,9073.65176931,0.20830238221,171,SR,1
162-090-020,1,VLDR,SR,162090020,305.265755298,5178.94052339,0.11889211486,172,SR,1
162-090-021,1,VLDR,SR,162090021,275.940966763,4393.03954191,0.10085031088,173,SR,1
066-530-005,1,ER,ER,066530005,886.904179236,39121.6895824,0.89811041282,174,ER,1
066-400-016,1,VLDR,SR,066400016,679.982540476,22498.6960847,0.51649899184,175,SR,1
162-100-007,1,VLDR,SR,162100007,321.380024081,6267.90568668,0.14389131512,176,SR,1
162-090-038,1,VLDR,SR,162090038,318.113605692,5481.81921556,0.12584525288,177,SR,1
162-090-056,1,VLDR,SR,162090056,280.120361249,4517.22419221,0.10370119817,178,SR,1
066-341-002,1,VLDR,SR,066341002,518.574709631,14451.0437636,0.33175031597,179,SR,1
162-090-070,1,VLDR,SR,162090070,294.302579621,5129.22312636,0.11775076048,180,SR,1
161-340-013,1,ER,ER,161340013,503.27251874,13034.428322,0.29922930032,181,ER,1
162-090-072,1,VLDR,SR,162090072,290.34711366,4926.16526031,0.1130891933,182,SR,1
066-363-010,1,VLDR,SR,066363010,388.160259748,8273.17957414,0.18992606919,183,SR,1
164-380-044,1,VLDR,PD_VntgGrn,164380044,319.819370063,6000.81640295,0.13775978887,184,PD_VntgGrn,1
162-100-014,1,VLDR,SR,162100014,362.351740112,8370.49498035,0.19216012352,185,SR,1
162-090-033,1,VLDR,SR,162090033,302.61042917,4903.03700178,0.11255824155,186,SR,1
162-100-004,1,VLDR,SR,162100004,325.46223023700003,6485.99435412,0.14889794201,187,SR,1
162-090-049,1,VLDR,SR,162090049,279.96914061,4496.54726306,0.10322652119,188,SR,1
162-090-053,1,VLDR,SR,162090053,280.651821738,4520.02575755,0.10376551326,189,SR,1
162-090-063,1,VLDR,SR,162090063,278.503554725,4394.3737116,0.1008809392,190,SR,1
066-363-019,1,VLDR,SR,066363019,388.145281695,8269.84929317,0.18984961646,191,SR,1
162-090-016,1,VLDR,SR,162090016,286.402417817,4555.49364548,0.10457974393,192,SR,1
164-340-020,1,VLDR,PD_VntgGrn,164340020,319.775121526,5999.00601857,0.13771822816,193,PD_VntgGrn,1
162-090-017,1,VLDR,SR,162090017,283.133359455,4654.58245158,0.10685450991,194,SR,1
162-090-034,1,VLDR,SR,162090034,335.332755933,6467.74309646,0.14847895079,195,SR,1
066-400-021,1,VLDR,SR,066400021,631.690239363,20193.5562285,0.46358026236,196,SR,1
161-050-028,1,SC,SC,161050028,857.872052568,44224.8671698,1.01526324999,197,SC,0
164-340-017,1,VLDR,PD_VntgGrn,164340017,319.805112107,6000.16775401,0.13774489793,198,PD_VntgGrn,1
164-380-030,1,VLDR,PD_VntgGrn,164380030,319.818905387,6000.6029926,0.13775488964,199,PD_VntgGrn,1
162-090-044,1,VLDR,SR,162090044,280.805581124,4535.49938745,0.10412073892,200,SR,1
162-100-013,1,VLDR,SR,162100013,320.168228416,6027.49864262,0.1383723288,201,SR,1
066-365-005,1,VLDR,SR,066365005,364.32082768,8234.16935814,0.18903051786,202,SR,1
162-090-035,1,VLDR,SR,162090035,355.880835228,7844.49849831,0.18008490584,203,SR,1
162-100-009,1,VLDR,SR,162100009,323.875312689,6412.09878449,0.14720153316,204,SR,1
162-090-030,1,VLDR,SR,162090030,301.133964631,5046.43292938,0.11585015908,205,SR,1
066-364-007,1,VLDR,SR,066364007,338.618755855,6683.86313029,0.15344038407,206,SR,1
162-100-027,1,VLDR,SR,162100027,417.558581829,9175.69601967,0.21064499586,207,SR,1
164-340-016,1,VLDR,PD_VntgGrn,164340016,319.804975345,6000.26049339,0.13774702694,208,PD_VntgGrn,1
066-365-006,1,VLDR,SR,066365006,364.382140263,8233.45195271,0.1890140485,209,SR,1
162-090-069,1,VLDR,SR,162090069,275.373927793,4382.65925586,0.1006120123,210,SR,1
162-090-073,1,VLDR,SR,162090073,289.460888876,4894.42080767,0.11236044095,211,SR,1
161-340-008,1,ER,ER,161340008,502.25661037,14782.4289112,0.33935787216,212,ER,1
