general_pl,id,Zoning
619 - Commercial,0,NA
619 - Commercial,1,NA
619 - General Open Space,2,NA
619 - Open Space for Health and Safety,3,NA
619 - Open Space for Low Intensity Outdoor Recreation,4,NA
619 - Open Space for Low Intensity Outdoor Recreation,5,NA
619 - Open Space for Low Intensity Outdoor Recreation,6,NA
619 - Open Space for Preservation of Natural Resources,7,NA
619 - Open Space for Preservation of Natural Resources,8,NA
619 - Open Space for Preservation of Natural Resources,9,NA
619 - Open Space for Preservation of Natural Resources,10,NA
619 - Open Space for Preservation of Natural Resources,11,NA
619 - Open Space for Preservation of Natural Resources,12,NA
619 - Open Space for Preservation of Natural Resources,13,NA
619 - Open Space for Preservation of Natural Resources,14,NA
619 - Residential,15,1
619 - Residential,16,1
619 - Residential,17,1
619 - Rural Residential,18,1
619 - Rural Residential,19,1
619 - Rural Residential,20,1
619 - Rural Residential,21,1
619 - Rural Residential,22,1
619 - Rural Residential,23,1
619 - Rural Residential,24,1
619 - Rural Residential,25,1
619 - Special Conservation Planning - 10,26,1
619 - Special Conservation Planning - 10,27,1
619 - Special Conservation Planning - 10,28,1
619 - Special Conservation Planning - 10,29,1
619 - Special Conservation Planning - 10,30,1
619 - Special Conservation Planning - 10,31,1
619 - Special Conservation Planning - 10,32,1
619 - Special Conservation Planning - 10,33,1
619 - Special Conservation Planning - 10,34,1
619 - Special Conservation Planning - 5,35,1
619 - Special Conservation Planning - 5,36,1
619 - Special Conservation Planning - 5,37,1
619 - Special Conservation Planning - 5,38,1
619 - Special Conservation Planning - 5,39,1
619 - Special Conservation Planning - 7.5,40,1
619 - Special Conservation Planning - 7.5,41,1
619 - Special Conservation Planning - 7.5,42,1
619 - Suburban Residential,43,1
619 - Suburban Residential,44,1
619 - Suburban Residential,45,1
619 - Suburban Residential,46,1
619 - Suburban Residential,47,1
619 - Suburban Residential,48,1
619 - Suburban Residential,49,1
619 - Suburban Residential,50,1
619 - Suburban Residential,51,1
619 - Suburban Residential,52,1
