general_pl,id,Zoning
404 - Agricultural,0,NA
404 - Agricultural,1,NA
404 - Agricultural,2,NA
404 - Master-Planned Residential,3,1
404 - Master-Planned Residential,4,2
404 - Master-Planned Residential,5,1
404 - Master-Planned Residential,6,2
404 - Master-Planned Residential,7,3
404 - Master-Planned Residential,8,NA
404 - Master-Planned Residential,9,3
404 - Master-Planned Residential,10,2
404 - Master-Planned Residential,11,3
404 - Master-Planned Residential,12,NA
404 - Master-Planned Residential,13,3
404 - Master-Planned Residential,14,3
404 - Master-Planned Residential,15,3
404 - Master-Planned Residential,16,3
404 - Master-Planned Residential,17,3
404 - Master-Planned Residential,18,3
404 - Master-Planned Residential,19,3
404 - Master-Planned Residential,20,3
404 - Master-Planned Residential,21,3
404 - Master-Planned Residential,22,3
404 - Master-Planned Residential,23,3
404 - Master-Planned Residential,24,3
404 - Master-Planned Residential,25,2
404 - Mixed Residential,26,NA
404 - Mixed Residential,27,NA
404 - Mixed Residential,28,NA
404 - Mixed Residential,29,2
404 - Mixed Residential,30,1
404 - Mixed Residential,31,1
404 - Mixed Residential,32,1
404 - Mixed Residential,33,1
404 - Mixed Residential,34,1
404 - Mixed Residential,35,1
404 - Mixed Residential,36,1
404 - Mixed Residential,37,1
404 - Mixed Residential,38,1
404 - Mixed Residential,39,1
404 - Mixed Residential,40,1
404 - Mixed Residential,41,1
404 - Mobile Home Park,42,2
404 - Old Town Historic,43,NA
404 - Old Town Historic,44,NA
404 - Old Town Historic,45,NA
404 - Old Town Historic,46,NA
404 - Old Town Historic,47,NA
404 - Old Town Historic,48,NA
404 - Old Town Historic,49,NA
404 - Old Town Historic,50,NA
404 - Old Town Historic,51,NA
404 - Old Town Historic,52,NA
404 - Old Town Historic,53,NA
404 - Old Town Historic,54,NA
404 - Old Town Historic,55,NA
404 - Old Town Historic,56,NA
404 - Old Town Historic,57,NA
404 - Old Town Historic,58,NA
404 - Old Town Historic,59,NA
404 - Parks & Playfields,60,NA
404 - Parks & Playfields,61,NA
404 - Parks & Playfields,62,NA
404 - Parks & Playfields,63,NA
404 - Parks & Playfields,64,NA
404 - Parks & Playfields,65,NA
404 - Parks & Playfields,66,NA
404 - Parks & Playfields,67,NA
404 - Parks & Playfields,68,NA
404 - Parks & Playfields,69,NA
404 - Parks & Playfields,70,NA
404 - Parks & Playfields,71,NA
404 - Primary Commercial,72,NA
404 - Primary Commercial,73,NA
404 - Primary Commercial,74,NA
404 - Public Facilities,75,NA
404 - Public Facilities,76,NA
404 - Public Facilities,77,NA
404 - Public Facilities,78,NA
404 - Public Facilities,79,NA
404 - Public Facilities,80,NA
404 - Public Facilities,81,NA
404 - Public Facilities,82,NA
404 - Residential Scaled Commercial,83,NA
404 - Residential Scaled Commercial,84,NA
404 - Residential Scaled Commercial,85,NA
404 - Residential Scaled Commercial,86,NA
404 - Single Family Residential,87,1
404 - Single Family Residential,88,1
404 - Single Family Residential,89,1
404 - Single Family Residential,90,1
404 - Single Family Residential,91,1
404 - Single Family Residential,92,1
404 - Single Family Residential,93,1
404 - Single Family Residential,94,1
404 - Single Family Residential,95,1
404 - Single Family Residential,96,1
404 - Single Family Residential,97,1
404 - Single Family Residential,98,1
404 - Single Family Residential,99,1
404 - Single Family Residential,100,1
404 - Single Family Residential,101,1
404 - Single Family Residential,102,1
Newly added,0,2
Newly added,0,2
Newly added,0,2
